chr	position	strand
Pf3D7_10_v3	1675795	-
Pf3D7_13_v3	2917297	-
Pf3D7_07_v3	1433251	+
Pf3D7_02_v3	927318	+
Pf3D7_01_v3	8525	+
Pf3D7_03_v3	29126	-
Pf3D7_02_v3	944974	-
Pf3D7_09_v3	1539361	-
Pf3D7_02_v3	5488	+
Pf3D7_07_v3	1438036	-
Pf3D7_09_v3	1509780	+
Pf3D7_08_v3	1464546	-
Pf3D7_03_v3	15011	-
Pf3D7_11_v3	16640	+
Pf3D7_10_v3	18917	-
Pf3D7_10_v3	27412	-
Pf3D7_02_v3	11849	+
Pf3D7_02_v3	8282	+
Pf3D7_13_v3	10769	+
Pf3D7_06_v3	1389091	-
Pf3D7_04_v3	3103	+
Pf3D7_07_v3	1436444	+
Pf3D7_09_v3	1535164	-
Pf3D7_13_v3	2910582	+
Pf3D7_04_v3	21704	+
Pf3D7_13_v3	3638	-
Pf3D7_01_v3	12913	-
Pf3D7_08_v3	1461773	-
Pf3D7_09_v3	1517181	+
Pf3D7_02_v3	343	+
Pf3D7_02_v3	926013	+
Pf3D7_06_v3	1415724	-
Pf3D7_13_v3	2912839	+
Pf3D7_08_v3	1451834	+
Pf3D7_13_v3	5292	-
Pf3D7_11_v3	923	-
Pf3D7_07_v3	18510	-
Pf3D7_10_v3	1654761	+
Pf3D7_01_v3	21823	-
Pf3D7_02_v3	5826	+
Pf3D7_11_v3	7827	-
Pf3D7_10_v3	1660872	+
Pf3D7_03_v3	1062911	-
Pf3D7_08_v3	668	+
Pf3D7_09_v3	6771	-
Pf3D7_12_v3	4540	+
Pf3D7_09_v3	5247	-
Pf3D7_06_v3	1390138	+
Pf3D7_05_v3	18380	+
Pf3D7_06_v3	1396604	+
Pf3D7_09_v3	1519836	-
Pf3D7_12_v3	6259	+
Pf3D7_07_v3	19204	+
Pf3D7_03_v3	1048909	-
Pf3D7_03_v3	1048986	+
Pf3D7_10_v3	1662864	+
Pf3D7_11_v3	7625	-
Pf3D7_02_v3	2176	-
Pf3D7_01_v3	630900	-
Pf3D7_08_v3	1445008	-
Pf3D7_02_v3	929484	+
Pf3D7_11_v3	4713	+
Pf3D7_04_v3	8091	+
Pf3D7_02_v3	941564	-
Pf3D7_13_v3	12257	-
Pf3D7_02_v3	946893	+
Pf3D7_04_v3	9749	-
Pf3D7_02_v3	945476	+
Pf3D7_02_v3	1090	+
Pf3D7_01_v3	14489	-
Pf3D7_01_v3	635793	-
Pf3D7_03_v3	19196	-
Pf3D7_01_v3	639174	-
Pf3D7_08_v3	1453260	-
Pf3D7_09_v3	1505349	-
Pf3D7_06_v3	501	+
Pf3D7_04_v3	1888	+
Pf3D7_07_v3	1440920	-
Pf3D7_12_v3	2265676	+
Pf3D7_12_v3	13720	+
Pf3D7_01_v3	13762	+
Pf3D7_03_v3	32323	+
Pf3D7_03_v3	1044030	-
Pf3D7_03_v3	1051659	+
Pf3D7_08_v3	1447764	+
Pf3D7_06_v3	1410124	-
Pf3D7_01_v3	633666	+
Pf3D7_05_v3	16244	+
Pf3D7_08_v3	15554	+
Pf3D7_02_v3	7480	-
Pf3D7_11_v3	1588	+
Pf3D7_01_v3	639072	-
Pf3D7_13_v3	10076	+
Pf3D7_02_v3	2288	-
Pf3D7_11_v3	2038176	+
Pf3D7_12_v3	2271369	-
Pf3D7_13_v3	2907827	+
Pf3D7_10_v3	1679175	-
Pf3D7_10_v3	1652106	+
Pf3D7_09_v3	1507605	+
Pf3D7_10_v3	1660970	+
Pf3D7_02_v3	939278	+
Pf3D7_08_v3	2716	+
Pf3D7_07_v3	1427604	-
Pf3D7_12_v3	10868	+
Pf3D7_07_v3	15089	+
Pf3D7_05_v3	14890	-
Pf3D7_09_v3	1534178	+
Pf3D7_03_v3	1062286	+
Pf3D7_02_v3	938053	+
Pf3D7_07_v3	10176	+
Pf3D7_06_v3	1413258	+
Pf3D7_03_v3	1049169	+
Pf3D7_05_v3	1972	+
Pf3D7_05_v3	15147	-
Pf3D7_04_v3	1186404	+
Pf3D7_05_v3	19718	-
Pf3D7_09_v3	1519685	-
Pf3D7_04_v3	23644	+
Pf3D7_13_v3	2895173	+
Pf3D7_13_v3	13478	-
Pf3D7_07_v3	8782	-
Pf3D7_04_v3	1190036	+
Pf3D7_08_v3	5397	-
Pf3D7_12_v3	15782	-
Pf3D7_09_v3	1518877	+
Pf3D7_11_v3	19832	+
Pf3D7_08_v3	8651	-
Pf3D7_09_v3	1505912	+
Pf3D7_04_v3	24410	-
Pf3D7_10_v3	5111	+
Pf3D7_03_v3	9758	-
Pf3D7_10_v3	23776	+
Pf3D7_12_v3	14524	+
Pf3D7_02_v3	945208	+
Pf3D7_09_v3	8188	+
Pf3D7_02_v3	18356	-
Pf3D7_10_v3	9051	+
Pf3D7_01_v3	634323	-
Pf3D7_13_v3	10274	-
Pf3D7_02_v3	925524	+
Pf3D7_13_v3	2906955	-
Pf3D7_10_v3	1668021	-
Pf3D7_08_v3	1451629	-
Pf3D7_10_v3	1664581	+
Pf3D7_10_v3	1669311	-
Pf3D7_13_v3	2895400	-
Pf3D7_03_v3	1043510	-
Pf3D7_08_v3	1466155	+
Pf3D7_02_v3	8534	-
Pf3D7_09_v3	11694	+
Pf3D7_03_v3	20422	+
Pf3D7_08_v3	1460008	+
Pf3D7_08_v3	1456078	-
Pf3D7_07_v3	9469	-
Pf3D7_08_v3	16766	+
Pf3D7_10_v3	1686367	-
Pf3D7_10_v3	1660238	+
Pf3D7_07_v3	1439183	+
Pf3D7_09_v3	18640	-
Pf3D7_13_v3	156	-
Pf3D7_02_v3	19028	-
Pf3D7_02_v3	12047	-
Pf3D7_01_v3	640037	+
Pf3D7_09_v3	1525861	-
Pf3D7_06_v3	1412606	+
Pf3D7_10_v3	1656892	-
Pf3D7_09_v3	1509443	+
Pf3D7_04_v3	1199062	+
Pf3D7_12_v3	2261159	+
Pf3D7_10_v3	1671364	-
Pf3D7_03_v3	1044035	+
Pf3D7_05_v3	4568	-
Pf3D7_04_v3	22712	-
Pf3D7_02_v3	931246	+
Pf3D7_02_v3	937638	-
Pf3D7_13_v3	6472	+
Pf3D7_06_v3	1392594	+
Pf3D7_05_v3	3345	-
Pf3D7_10_v3	25667	+
Pf3D7_08_v3	1471096	+
Pf3D7_13_v3	2355	+
Pf3D7_10_v3	1663799	-
Pf3D7_07_v3	11047	+
Pf3D7_05_v3	7721	+
Pf3D7_13_v3	2916478	-
Pf3D7_10_v3	7185	+
Pf3D7_13_v3	2895687	-
Pf3D7_02_v3	8170	+
Pf3D7_12_v3	9716	-
Pf3D7_09_v3	1510894	-
Pf3D7_02_v3	19784	+
Pf3D7_08_v3	1444639	+
Pf3D7_09_v3	1506636	-
Pf3D7_01_v3	14621	-
Pf3D7_07_v3	10036	+
Pf3D7_11_v3	6877	-
Pf3D7_04_v3	7177	+
Pf3D7_07_v3	1368	-
Pf3D7_06_v3	1406505	-
Pf3D7_04_v3	10521	-
Pf3D7_13_v3	2427	-
Pf3D7_10_v3	1665517	+
Pf3D7_02_v3	22722	-
Pf3D7_13_v3	2902042	-
Pf3D7_12_v3	2269197	-
Pf3D7_04_v3	7182	-
Pf3D7_11_v3	4337	-
Pf3D7_02_v3	6321	-
Pf3D7_14_v3	410	-
Pf3D7_09_v3	1508634	-
Pf3D7_09_v3	1526214	+
Pf3D7_01_v3	624089	+
Pf3D7_12_v3	2265341	+
Pf3D7_01_v3	14109	+
Pf3D7_03_v3	1051898	+
Pf3D7_02_v3	935062	+
Pf3D7_10_v3	1656533	+
Pf3D7_03_v3	25731	-
Pf3D7_13_v3	2130	+
Pf3D7_09_v3	1531254	-
Pf3D7_01_v3	28728	+
Pf3D7_01_v3	21953	+
Pf3D7_01_v3	627155	-
Pf3D7_09_v3	6045	-
Pf3D7_10_v3	1682954	-
Pf3D7_03_v3	1046550	-
Pf3D7_12_v3	7839	-
Pf3D7_01_v3	635089	-
Pf3D7_10_v3	1684792	+
Pf3D7_13_v3	18829	-
Pf3D7_10_v3	1654005	-
Pf3D7_10_v3	24802	+
Pf3D7_11_v3	2659	+
Pf3D7_01_v3	16795	-
Pf3D7_03_v3	33555	+
Pf3D7_02_v3	15878	-
Pf3D7_07_v3	1444251	+
Pf3D7_10_v3	1663470	+
Pf3D7_09_v3	6049	+
Pf3D7_12_v3	5302	-
Pf3D7_02_v3	932425	+
Pf3D7_10_v3	18853	-
Pf3D7_03_v3	16331	-
Pf3D7_03_v3	1060399	+
Pf3D7_10_v3	11491	-
Pf3D7_13_v3	2903501	+
Pf3D7_09_v3	3653	-
Pf3D7_01_v3	629561	+
Pf3D7_09_v3	17267	+
Pf3D7_01_v3	24682	-
Pf3D7_12_v3	2255198	-
Pf3D7_10_v3	13188	-
Pf3D7_03_v3	25457	-
Pf3D7_02_v3	14851	+
Pf3D7_03_v3	2424	+
Pf3D7_13_v3	2912397	+
Pf3D7_07_v3	760	-
Pf3D7_10_v3	1655065	+
Pf3D7_09_v3	1528702	+
Pf3D7_08_v3	1447214	+
Pf3D7_02_v3	932058	+
Pf3D7_13_v3	2912314	+
Pf3D7_04_v3	18194	+
Pf3D7_08_v3	1457000	+
Pf3D7_10_v3	2596	-
Pf3D7_09_v3	1534174	+
Pf3D7_13_v3	19419	+
Pf3D7_02_v3	944570	-
Pf3D7_07_v3	1440624	+
Pf3D7_06_v3	1397426	+
Pf3D7_07_v3	17167	+
Pf3D7_02_v3	11838	+
Pf3D7_02_v3	927448	-
Pf3D7_03_v3	1063661	+
Pf3D7_04_v3	8887	+
Pf3D7_06_v3	1416108	+
Pf3D7_09_v3	7080	+
Pf3D7_09_v3	1536819	-
Pf3D7_06_v3	1402125	+
Pf3D7_06_v3	1399696	-
Pf3D7_03_v3	10716	-
Pf3D7_08_v3	1468120	-
Pf3D7_04_v3	1683	-
Pf3D7_01_v3	13473	-
Pf3D7_06_v3	1396265	-
Pf3D7_07_v3	10646	-
Pf3D7_03_v3	9188	+
Pf3D7_08_v3	1463241	+
Pf3D7_08_v3	1455294	+
Pf3D7_10_v3	5195	-
Pf3D7_09_v3	1511508	-
Pf3D7_09_v3	1530312	+
Pf3D7_04_v3	7270	+
Pf3D7_10_v3	1662102	+
Pf3D7_08_v3	12758	-
Pf3D7_06_v3	1394904	-
Pf3D7_09_v3	7461	-
Pf3D7_05_v3	4925	+
Pf3D7_07_v3	1433276	+
Pf3D7_10_v3	19128	+
Pf3D7_12_v3	2261322	-
Pf3D7_13_v3	20394	-
Pf3D7_07_v3	1441049	-
Pf3D7_08_v3	343	+
Pf3D7_10_v3	1664744	+
Pf3D7_04_v3	8046	-
Pf3D7_11_v3	13700	+
Pf3D7_07_v3	1431823	-
Pf3D7_02_v3	23429	+
Pf3D7_01_v3	623232	+
Pf3D7_11_v3	12172	-
Pf3D7_01_v3	618794	+
Pf3D7_04_v3	25254	+
Pf3D7_04_v3	1198776	-
Pf3D7_03_v3	28647	+
Pf3D7_04_v3	9761	+
Pf3D7_10_v3	1652934	-
Pf3D7_01_v3	20429	+
Pf3D7_11_v3	10006	+
Pf3D7_12_v3	16094	+
Pf3D7_05_v3	14067	+
Pf3D7_02_v3	936601	+
Pf3D7_09_v3	18965	-
Pf3D7_02_v3	19410	+
Pf3D7_05_v3	9234	+
Pf3D7_13_v3	2894431	+
Pf3D7_13_v3	2896753	+
Pf3D7_10_v3	1667136	-
Pf3D7_04_v3	15600	+
Pf3D7_09_v3	1505229	+
Pf3D7_10_v3	3495	+
Pf3D7_05_v3	14187	+
Pf3D7_09_v3	1532382	+
Pf3D7_01_v3	857	-
Pf3D7_03_v3	18325	-
Pf3D7_08_v3	1648	+
Pf3D7_02_v3	940808	-
Pf3D7_02_v3	943326	+
Pf3D7_11_v3	20272	+
Pf3D7_13_v3	2912620	-
Pf3D7_08_v3	1462225	-
Pf3D7_11_v3	21607	+
Pf3D7_13_v3	2913068	-
Pf3D7_02_v3	934499	+
Pf3D7_06_v3	1409696	-
Pf3D7_05_v3	1343379	-
Pf3D7_01_v3	636890	-
Pf3D7_10_v3	1670123	-
Pf3D7_06_v3	1413683	-
Pf3D7_07_v3	879	-
Pf3D7_02_v3	925171	-
Pf3D7_03_v3	3575	+
Pf3D7_12_v3	2261808	+
Pf3D7_01_v3	20372	+
Pf3D7_03_v3	1045369	-
Pf3D7_04_v3	4324	+
Pf3D7_07_v3	1442662	+
Pf3D7_08_v3	1465692	-
Pf3D7_07_v3	1438799	+
Pf3D7_01_v3	627985	-
Pf3D7_03_v3	1051251	-
Pf3D7_11_v3	2036132	+
Pf3D7_09_v3	1511175	+
Pf3D7_09_v3	1537858	+
Pf3D7_09_v3	1516856	+
Pf3D7_10_v3	1676757	+
Pf3D7_01_v3	633402	+
Pf3D7_05_v3	6233	+
Pf3D7_08_v3	4159	+
Pf3D7_04_v3	1194492	-
Pf3D7_11_v3	2036297	-
Pf3D7_07_v3	9695	+
Pf3D7_10_v3	1683526	-
Pf3D7_12_v3	11560	+
Pf3D7_07_v3	1440910	+
Pf3D7_12_v3	2251487	+
Pf3D7_08_v3	1449987	+
Pf3D7_12_v3	4471	+
Pf3D7_04_v3	1186723	+
Pf3D7_07_v3	1430519	+
Pf3D7_08_v3	19781	+
Pf3D7_02_v3	4000	-
Pf3D7_06_v3	1408081	-
Pf3D7_13_v3	11996	-
Pf3D7_09_v3	11735	-
Pf3D7_03_v3	7748	-
Pf3D7_04_v3	1187021	+
Pf3D7_03_v3	21891	+
Pf3D7_01_v3	8596	+
Pf3D7_13_v3	14191	+
Pf3D7_06_v3	1384796	-
Pf3D7_04_v3	2022	+
Pf3D7_08_v3	1465063	-
Pf3D7_01_v3	17722	-
Pf3D7_03_v3	1040378	+
Pf3D7_10_v3	24823	-
Pf3D7_09_v3	1504277	+
Pf3D7_13_v3	2923841	+
Pf3D7_09_v3	14021	+
Pf3D7_07_v3	19359	+
Pf3D7_10_v3	1685771	-
Pf3D7_12_v3	2256503	+
Pf3D7_10_v3	20888	+
Pf3D7_13_v3	2900462	+
Pf3D7_10_v3	1668166	+
Pf3D7_12_v3	3902	-
Pf3D7_02_v3	11786	-
Pf3D7_10_v3	24086	+
Pf3D7_06_v3	1398607	-
Pf3D7_08_v3	1446924	+
Pf3D7_09_v3	1516314	+
Pf3D7_13_v3	2918534	-
Pf3D7_13_v3	2910220	+
Pf3D7_04_v3	15550	+
Pf3D7_10_v3	11905	+
Pf3D7_10_v3	1661568	+
Pf3D7_04_v3	1192673	-
Pf3D7_02_v3	15352	+
Pf3D7_01_v3	25807	+
Pf3D7_10_v3	1673557	+
Pf3D7_07_v3	1445117	-
Pf3D7_13_v3	2919792	-
Pf3D7_07_v3	1543	-
Pf3D7_13_v3	2906153	-
Pf3D7_06_v3	1396815	-
Pf3D7_10_v3	1650879	-
Pf3D7_01_v3	620248	-
Pf3D7_08_v3	1466024	+
Pf3D7_10_v3	1663757	+
Pf3D7_13_v3	3024	+
Pf3D7_11_v3	6704	+
Pf3D7_01_v3	7894	+
Pf3D7_05_v3	3516	-
Pf3D7_01_v3	618248	-
Pf3D7_02_v3	18528	+
Pf3D7_09_v3	1535130	+
Pf3D7_10_v3	13703	+
Pf3D7_10_v3	1673471	-
Pf3D7_12_v3	14938	+
Pf3D7_10_v3	23266	+
Pf3D7_10_v3	1651970	+
Pf3D7_01_v3	639668	-
Pf3D7_03_v3	1041064	+
Pf3D7_09_v3	511	-
Pf3D7_12_v3	6554	-
Pf3D7_01_v3	21432	+
Pf3D7_07_v3	1428445	-
Pf3D7_09_v3	1515123	-
Pf3D7_01_v3	7550	-
Pf3D7_06_v3	1397258	+
Pf3D7_12_v3	2271190	-
Pf3D7_09_v3	1516569	-
Pf3D7_03_v3	1045159	+
Pf3D7_12_v3	1988	+
Pf3D7_04_v3	1184891	-
Pf3D7_12_v3	2164	-
Pf3D7_04_v3	15923	-
Pf3D7_08_v3	1456281	-
Pf3D7_06_v3	1400761	+
Pf3D7_03_v3	1063131	+
Pf3D7_12_v3	2262338	-
Pf3D7_03_v3	5601	+
Pf3D7_01_v3	625178	+
Pf3D7_04_v3	1187117	-
Pf3D7_10_v3	22827	+
Pf3D7_11_v3	7160	+
Pf3D7_14_v3	176	+
Pf3D7_04_v3	20430	+
Pf3D7_06_v3	1398337	+
Pf3D7_02_v3	926523	+
Pf3D7_08_v3	1463959	+
Pf3D7_14_v3	267	+
Pf3D7_10_v3	23973	-
Pf3D7_08_v3	1468028	-
Pf3D7_05_v3	1343283	-
Pf3D7_13_v3	11359	-
Pf3D7_07_v3	1437329	+
Pf3D7_02_v3	939214	-
Pf3D7_05_v3	1393	-
Pf3D7_01_v3	623873	+
Pf3D7_03_v3	6148	+
Pf3D7_01_v3	20042	-
Pf3D7_07_v3	1355	-
Pf3D7_09_v3	1523553	+
Pf3D7_04_v3	1195197	+
Pf3D7_06_v3	1416445	+
Pf3D7_13_v3	2902884	+
Pf3D7_10_v3	1651062	-
Pf3D7_08_v3	14728	-
Pf3D7_04_v3	43	+
Pf3D7_12_v3	2251119	-
Pf3D7_03_v3	1067697	-
Pf3D7_04_v3	23942	-
Pf3D7_12_v3	2265112	+
Pf3D7_08_v3	17003	-
Pf3D7_10_v3	1653547	-
Pf3D7_08_v3	1446825	-
Pf3D7_09_v3	1515418	+
Pf3D7_04_v3	660	+
Pf3D7_03_v3	1064751	-
Pf3D7_04_v3	1563	+
Pf3D7_02_v3	936724	-
Pf3D7_12_v3	2268300	+
Pf3D7_04_v3	20402	-
Pf3D7_08_v3	1450982	+
Pf3D7_10_v3	1668118	+
Pf3D7_10_v3	1670993	+
Pf3D7_06_v3	1410161	+
Pf3D7_07_v3	8351	+
Pf3D7_13_v3	2902789	+
Pf3D7_09_v3	1534039	+
Pf3D7_11_v3	20671	-
Pf3D7_12_v3	2260340	-
Pf3D7_10_v3	1651801	-
Pf3D7_03_v3	18071	+
Pf3D7_08_v3	1469649	-
Pf3D7_02_v3	23984	-
Pf3D7_09_v3	1519190	+
Pf3D7_13_v3	2898553	-
Pf3D7_07_v3	1437410	-
Pf3D7_06_v3	1412347	+
Pf3D7_01_v3	27154	+
Pf3D7_13_v3	2895464	+
Pf3D7_02_v3	7046	+
Pf3D7_01_v3	13725	-
Pf3D7_03_v3	1041966	-
Pf3D7_01_v3	637993	-
Pf3D7_07_v3	2198	+
Pf3D7_07_v3	1439106	+
Pf3D7_04_v3	25499	-
Pf3D7_01_v3	632935	+
Pf3D7_02_v3	18507	-
Pf3D7_05_v3	5305	-
Pf3D7_01_v3	636513	+
Pf3D7_10_v3	11557	-
Pf3D7_03_v3	2214	+
Pf3D7_04_v3	10176	+
Pf3D7_06_v3	227	+
Pf3D7_06_v3	1401578	+
Pf3D7_01_v3	7610	+
Pf3D7_02_v3	11209	-
Pf3D7_12_v3	6955	-
Pf3D7_01_v3	9394	+
Pf3D7_07_v3	1439671	-
Pf3D7_07_v3	1432549	-
Pf3D7_04_v3	1195934	+
Pf3D7_06_v3	1392155	+
Pf3D7_10_v3	1682672	+
Pf3D7_11_v3	8513	-
Pf3D7_03_v3	1040306	-
Pf3D7_04_v3	4162	+
Pf3D7_03_v3	1062384	-
Pf3D7_07_v3	17086	+
Pf3D7_09_v3	1512074	-
Pf3D7_03_v3	21733	-
Pf3D7_04_v3	1192210	-
Pf3D7_13_v3	2736	+
Pf3D7_01_v3	627070	+
Pf3D7_07_v3	13594	-
Pf3D7_10_v3	26703	+
Pf3D7_02_v3	943635	+
Pf3D7_01_v3	2812	+
Pf3D7_02_v3	929748	-
Pf3D7_13_v3	8929	+
Pf3D7_01_v3	4328	-
Pf3D7_03_v3	20599	-
Pf3D7_01_v3	248	-
Pf3D7_02_v3	2753	-
Pf3D7_09_v3	909	+
Pf3D7_03_v3	1047654	-
Pf3D7_08_v3	1466026	-
Pf3D7_08_v3	1449345	-
Pf3D7_12_v3	16042	-
Pf3D7_01_v3	7746	-
Pf3D7_12_v3	730	-
Pf3D7_09_v3	6449	-
Pf3D7_02_v3	941368	+
Pf3D7_10_v3	1654702	+
Pf3D7_12_v3	1168	+
Pf3D7_03_v3	1063627	-
Pf3D7_13_v3	12106	+
Pf3D7_07_v3	6725	+
Pf3D7_09_v3	14532	-
Pf3D7_13_v3	2920349	+
Pf3D7_05_v3	7236	-
Pf3D7_11_v3	13086	-
Pf3D7_04_v3	304	+
Pf3D7_10_v3	1662060	+
Pf3D7_09_v3	11440	-
Pf3D7_03_v3	7115	-
Pf3D7_06_v3	1417938	-
Pf3D7_04_v3	26957	-
Pf3D7_01_v3	622182	+
Pf3D7_01_v3	11390	-
Pf3D7_04_v3	1184723	+
Pf3D7_01_v3	14481	+
Pf3D7_02_v3	927162	-
Pf3D7_10_v3	10795	+
Pf3D7_10_v3	15331	-
Pf3D7_10_v3	16894	-
Pf3D7_04_v3	16556	+
Pf3D7_12_v3	2254502	-
