chr	start	end	strand	gene_id	dist_to_v48_tss	dist_to_v68_tss	dist_to_v48_tts	dist_to_v68_tts	v48_tss	v48_tts	v68_tss	v68_tts	pred_tss	pred_tts
Pf3D7_01_v3	110649.0	115940.0	-	PF3D7_0102500	-141.0	1576.0	5190.0	140.0	115799	110750	117516.0	115800.0	115940	110649
Pf3D7_01_v3	118640.0	121250.0	-	PF3D7_0102600	-1.0	1284.0	2209.0	0	121249	119041	122534.0	121250.0	121250	118640
Pf3D7_01_v3	124516.0	125885.0	+	PF3D7_0102700	1.0	969.0	401.0	-328.0	124517	125484	125485.0	126213.0	124516	125885
Pf3D7_01_v3	125917.0	128359.0	-	PF3D7_0102800	-218.0	14.0	2041.0	217.0	128141	126318	128373.0	128142.0	128359	125917
Pf3D7_01_v3	128559.0	131285.0	-	PF3D7_0102900	-445.0	269.0	2325.0	444.0	130840	128960	131554.0	130841.0	131285	128559
Pf3D7_01_v3	131685.0	133752.0	-	PF3D7_0103000	-128.0	381.0	1666.0	127.0	133624	132086	134133.0	133625.0	133752	131685
Pf3D7_01_v3	133952.0	139258.0	-	PF3D7_0103100	-1.0	1113.0	4905.0	0	139257	134353	140371.0	139258.0	139258	133952
Pf3D7_01_v3	140261.0	142439.0	-	PF3D7_0103200	-220.0	610.0	1777.0	219.0	142219	140662	143049.0	142220.0	142439	140261
Pf3D7_01_v3	143239.0	146714.0	-	PF3D7_0103300	-318.0	245.0	3074.0	317.0	146396	143640	146959.0	146397.0	146714	143239
Pf3D7_01_v3	147514.0	153075.0	-	PF3D7_0103400	-298.0	-280.0	5160.0	297.0	152777	147915	152795.0	152778.0	153075	147514
Pf3D7_01_v3	154175.0	160727.0	+	PF3D7_0103500	1.0	6252.0	301.0	97.0	154176	160426	160427.0	160630.0	154175	160727
Pf3D7_01_v3	161027.0	166230.0	+	PF3D7_0103600	104.0	5203.0	1.0	-43.0	161131	166229	166230.0	166273.0	161027	166230
Pf3D7_01_v3	166512.0	168788.0	+	PF3D7_0103700	1.0	-15.0	101.0	2276.0	166513	168687	166497.0	166512.0	166512	168788
Pf3D7_01_v3	168778.0	171463.0	-	PF3D7_0103800	-190.0	-21.0	2384.0	189.0	171273	169079	171442.0	171274.0	171463	168778
Pf3D7_01_v3	172574.0	174892.0	+	PF3D7_0103900	290.0	2018.0	301.0	-163.0	172864	174591	174592.0	175055.0	172574	174892
Pf3D7_01_v3	175592.0	176577.0	+	PF3D7_0104000	17.0	406.0	201.0	201.0	175609	176376	175998.0	176376.0	175592	176577
Pf3D7_01_v3	177777.0	180991.0	+	PF3D7_0104100	310.0	3014.0	201.0	-834.0	178087	180790	180791.0	181825.0	177777	180991
Pf3D7_01_v3	182421.0	184568.0	-	PF3D7_0104200	-346.0	252.0	1746.0	345.0	184222	182822	184820.0	184223.0	184568	182421
Pf3D7_01_v3	190123.0	201631.0	+	PF3D7_0104300	146.0	11108.0	401.0	307.0	190269	201230	201231.0	201324.0	190123	201631
Pf3D7_01_v3	202431.0	204444.0	+	PF3D7_0104400	105.0	1713.0	301.0	194.0	202536	204143	204144.0	204250.0	202431	204444
Pf3D7_01_v3	204321.0	205569.0	-	PF3D7_0104500	-114.0	43.0	947.0	113.0	205455	204622	205612.0	205456.0	205569	204321
Pf3D7_01_v3	205856.0	210590.0	+	PF3D7_0104600	314.0	4334.0	401.0	317.0	206170	210189	210190.0	210273.0	205856	210590
Pf3D7_01_v3	210790.0	213406.0	+	PF3D7_0104700	80.0	80.0	401.0	401.0	210870	213005	210870.0	213005.0	210790	213406
Pf3D7_01_v3	215406.0	217910.0	+	PF3D7_0104800	370.0	2104.0	401.0	294.0	215776	217509	217510.0	217616.0	215406	217910
Pf3D7_01_v3	218116.0	219301.0	-	PF3D7_0104900	-477.0	-477.0	784.0	784.0	218824	218517	218824.0	218517.0	219301	218116
Pf3D7_01_v3	218516.0	219501.0	-	PF3D7_0105000	-278.0	-278.0	607.0	607.0	219223	218894	219223.0	218894.0	219501	218516
Pf3D7_01_v3	220824.0	221934.0	+	PF3D7_0105100	378.0	810.0	301.0	6.0	221202	221633	221634.0	221928.0	220824	221934
Pf3D7_01_v3	221853.0	224309.0	-	PF3D7_0105200	-349.0	192.0	2055.0	348.0	223960	222254	224501.0	223961.0	224309	221853
Pf3D7_01_v3	224709.0	225880.0	-	PF3D7_0105300	-101.0	137.0	770.0	100.0	225779	225110	226017.0	225780.0	225880	224709
Pf3D7_01_v3	226280.0	227484.0	-	PF3D7_0105400	-199.0	-65.0	803.0	198.0	227285	226681	227419.0	227286.0	227484	226280
Pf3D7_01_v3	228084.0	229788.0	-	PF3D7_0105500	-269.0	-269.0	1303.0	1303.0	229519	228485	229519.0	228485.0	229788	228084
Pf3D7_01_v3	229888.0	234765.0	-	PF3D7_0105600	-363.0	-301.0	4476.0	362.0	234402	230289	234464.0	234403.0	234765	229888
Pf3D7_01_v3	238503.0	248258.0	+	PF3D7_0105700	163.0	9355.0	401.0	75.0	238666	247857	247858.0	248183.0	238503	248258
Pf3D7_01_v3	248830.0	252083.0	-	PF3D7_0105800	-73.0	974.0	2852.0	72.0	252010	249231	253057.0	252011.0	252083	248830
Pf3D7_01_v3	253111.0	255331.0	+	PF3D7_0105900	473.0	1820.0	401.0	-440.0	253584	254930	254931.0	255771.0	253111	255331
Pf3D7_01_v3	255374.0	258957.0	-	PF3D7_0106000	-414.0	-333.0	3182.0	413.0	258543	255775	258624.0	258544.0	258957	255374
Pf3D7_01_v3	260357.0	262239.0	-	PF3D7_0106100	-430.0	-231.0	1581.0	429.0	261809	260658	262008.0	261810.0	262239	260357
Pf3D7_01_v3	263239.0	264307.0	-	PF3D7_0106200	-84.0	16.0	967.0	83.0	264223	263340	264323.0	264224.0	264307	263239
Pf3D7_01_v3	264807.0	269174.0	-	PF3D7_0106300	-1.0	1060.0	3966.0	0	269173	265208	270234.0	269174.0	269174	264807
Pf3D7_01_v3	272453.0	273405.0	+	PF3D7_0106400	1.0	952.0	1.0	-296.0	272454	273404	273405.0	273701.0	272453	273405
Pf3D7_01_v3	274205.0	278751.0	+	PF3D7_0106500	110.0	4346.0	201.0	4.0	274315	278550	278551.0	278747.0	274205	278751
Pf3D7_01_v3	279114.0	280315.0	+	PF3D7_0106600	1.0	1.0	301.0	301.0	279115	280014	279115.0	280014.0	279114	280315
Pf3D7_01_v3	280815.0	285860.0	+	PF3D7_0106700	340.0	4645.0	401.0	-15.0	281155	285459	285460.0	285875.0	280815	285860
Pf3D7_01_v3	286860.0	289319.0	+	PF3D7_0106800	91.0	2059.0	401.0	256.0	286951	288918	288919.0	289063.0	286860	289319
Pf3D7_01_v3	290019.0	292891.0	+	PF3D7_0106900	367.0	2572.0	301.0	89.0	290386	292590	292591.0	292802.0	290019	292891
Pf3D7_01_v3	293291.0	294969.0	+	PF3D7_0107000	351.0	1678.0	1.0	-170.0	293642	294968	294969.0	295139.0	293291	294969
Pf3D7_01_v3	294969.0	296961.0	-	PF3D7_0107100	-30.0	-2.0	1661.0	29.0	296931	295300	296959.0	296932.0	296961	294969
Pf3D7_01_v3	297232.0	299398.0	+	PF3D7_0107200	130.0	2166.0	1.0	-115.0	297362	299397	299398.0	299513.0	297232	299398
Pf3D7_01_v3	299398.0	301036.0	-	PF3D7_0107300	-168.0	115.0	1474.0	167.0	300868	299562	301151.0	300869.0	301036	299398
Pf3D7_01_v3	302669.0	303799.0	+	PF3D7_0107400	268.0	730.0	401.0	-437.0	302937	303398	303399.0	304236.0	302669	303799
Pf3D7_01_v3	304061.0	309317.0	-	PF3D7_0107500	-60.0	2611.0	4955.0	59.0	309257	304362	311928.0	309258.0	309317	304061
Pf3D7_01_v3	314458.0	319706.0	+	PF3D7_0107600	160.0	4948.0	301.0	181.0	314618	319405	319406.0	319525.0	314458	319706
Pf3D7_01_v3	320167.0	321509.0	+	PF3D7_0107700	1.0	1.0	1.0	1.0	320168	321508	320168.0	321508.0	320167	321509
Pf3D7_01_v3	322209.0	326173.0	+	PF3D7_0107800	162.0	3864.0	101.0	-7.0	322371	326072	326073.0	326180.0	322209	326173
Pf3D7_01_v3	326396.0	327430.0	-	PF3D7_0107900	-206.0	-65.0	1033.0	205.0	327224	326397	327365.0	327225.0	327430	326396
Pf3D7_01_v3	328030.0	329837.0	-	PF3D7_0108000	-279.0	158.0	1406.0	278.0	329558	328431	329995.0	329559.0	329837	328030
Pf3D7_01_v3	330737.0	333109.0	+	PF3D7_0108100	1.0	1972.0	401.0	275.0	330738	332708	332709.0	332834.0	330737	333109
Pf3D7_01_v3	337167.0	344234.0	+	PF3D7_0108300	1.0	6667.0	401.0	-135.0	337168	343833	343834.0	344369.0	337167	344234
Pf3D7_01_v3	343999.0	346769.0	-	PF3D7_0108400	-229.0	551.0	2369.0	228.0	346540	344400	347320.0	346541.0	346769	343999
Pf3D7_01_v3	349169.0	349994.0	+	PF3D7_0108500	1.0	541.0	285.0	-574.0	349170	349709	349710.0	350568.0	349169	349994
Pf3D7_01_v3	349994.0	351627.0	-	PF3D7_0108600	-1.0	120.0	1632.0	0	351626	349995	351747.0	351627.0	351627	349994
Pf3D7_01_v3	352013.0	356433.0	-	PF3D7_0108700	-222.0	551.0	4119.0	221.0	356211	352314	356984.0	356212.0	356433	352013
Pf3D7_01_v3	357512.0	360740.0	+	PF3D7_0108800	322.0	2828.0	401.0	-64.0	357834	360339	360340.0	360804.0	357512	360740
Pf3D7_01_v3	361586.0	362587.0	-	PF3D7_0108900	-1.0	-1.0	600.0	600.0	362586	361987	362586.0	361987.0	362587	361586
Pf3D7_01_v3	363187.0	364393.0	+	PF3D7_0109000	131.0	806.0	401.0	-816.0	363318	363992	363993.0	365209.0	363187	364393
Pf3D7_01_v3	365293.0	369196.0	+	PF3D7_0109100	317.0	3503.0	401.0	-140.0	365610	368795	368796.0	369336.0	365293	369196
Pf3D7_01_v3	369079.0	370614.0	-	PF3D7_0109200	-436.0	293.0	1134.0	435.0	370178	369480	370907.0	370179.0	370614	369079
Pf3D7_01_v3	371614.0	373013.0	-	PF3D7_0109300	-1.0	50.0	1198.0	0	373012	371815	373063.0	373013.0	373013	371614
Pf3D7_01_v3	374038.0	375088.0	-	PF3D7_0109400	-1.0	595.0	649.0	0	375087	374439	375683.0	375088.0	375088	374038
Pf3D7_01_v3	375993.0	377373.0	-	PF3D7_0109500	-369.0	331.0	1079.0	368.0	377004	376294	377704.0	377005.0	377373	375993
Pf3D7_01_v3	377773.0	378748.0	-	PF3D7_0109600	-149.0	-875.0	874.0	953.0	378599	377874	377873.0	377795.0	378748	377773
Pf3D7_01_v3	378948.0	379996.0	-	PF3D7_0109700	-190.0	90.0	847.0	189.0	379806	379149	380086.0	379807.0	379996	378948
Pf3D7_01_v3	380307.0	382825.0	+	PF3D7_0109800	390.0	2118.0	401.0	257.0	380697	382424	382425.0	382568.0	380307	382825
Pf3D7_01_v3	383225.0	386633.0	+	PF3D7_0109850	59.0	-133.0	1.0	3350.0	383284	386632	383092.0	383283.0	383225	386633
Pf3D7_01_v3	386633.0	388141.0	+	PF3D7_0109950	75.0	1308.0	201.0	-45.0	386708	387940	387941.0	388186.0	386633	388141
Pf3D7_01_v3	388371.0	389177.0	+	PF3D7_0110000	1.0	706.0	101.0	-382.0	388372	389076	389077.0	389559.0	388371	389177
Pf3D7_01_v3	389160.0	392066.0	-	PF3D7_0110100	-1.0	119.0	2805.0	0	392065	389261	392185.0	392066.0	392066	389160
Pf3D7_01_v3	392466.0	393491.0	+	PF3D7_0110200	138.0	570.0	456.0	-129.0	392604	393035	393036.0	393620.0	392466	393491
Pf3D7_01_v3	393215.0	393491.0	-	PF3D7_0110300	-1.0	-1.0	275.0	275.0	393490	393216	393490.0	393216.0	393491	393215
Pf3D7_01_v3	393574.0	395190.0	-	PF3D7_0110400	-355.0	32.0	1315.0	354.0	394835	393875	395222.0	394836.0	395190	393574
Pf3D7_01_v3	396590.0	403707.0	+	PF3D7_0110500	1.0	7017.0	101.0	-131.0	396591	403606	403607.0	403838.0	396590	403707
Pf3D7_01_v3	405407.0	412570.0	+	PF3D7_0110600	332.0	6763.0	401.0	117.0	405739	412169	412170.0	412453.0	405407	412570
Pf3D7_01_v3	413359.0	415101.0	-	PF3D7_0110700	-1.0	1900.0	1341.0	0	415100	413760	417001.0	415101.0	415101	413359
Pf3D7_01_v3	417501.0	420008.0	+	PF3D7_0110800	420.0	2107.0	401.0	-210.0	417921	419607	419608.0	420218.0	417501	420008
Pf3D7_01_v3	419892.0	420854.0	-	PF3D7_0110900	-1.0	88.0	561.0	0	420853	420293	420942.0	420854.0	420854	419892
Pf3D7_01_v3	421375.0	427576.0	-	PF3D7_0111000	-1.0	1302.0	5800.0	0	427575	421776	428878.0	427576.0	427576	421375
Pf3D7_01_v3	429951.0	430859.0	-	PF3D7_0111200	-1.0	20.0	707.0	0	430858	430152	430879.0	430859.0	430859	429951
Pf3D7_01_v3	431138.0	435507.0	-	PF3D7_0111300	-465.0	950.0	3968.0	464.0	435042	431539	436457.0	435043.0	435507	431138
Pf3D7_01_v3	436407.0	438965.0	+	PF3D7_0111400	1.0	2158.0	401.0	-403.0	436408	438564	438565.0	439368.0	436407	438965
Pf3D7_01_v3	439451.0	441842.0	-	PF3D7_0111500	-424.0	353.0	2190.0	423.0	441418	439652	442195.0	441419.0	441842	439451
Pf3D7_01_v3	442542.0	443584.0	-	PF3D7_0111600	-295.0	-111.0	1041.0	294.0	443289	442543	443473.0	443290.0	443584	442542
Pf3D7_01_v3	443384.0	444425.0	-	PF3D7_0111700	-487.0	257.0	840.0	486.0	443938	443585	444682.0	443939.0	444425	443384
Pf3D7_01_v3	445639.0	449050.0	+	PF3D7_0111800	387.0	3211.0	201.0	-904.0	446026	448849	448850.0	449954.0	445639	449050
Pf3D7_01_v3	449742.0	450830.0	-	PF3D7_0111900	-184.0	-788.0	787.0	864.0	450646	450043	450042.0	449966.0	450830	449742
Pf3D7_01_v3	450830.0	453146.0	-	PF3D7_0112000	-28.0	49.0	2315.0	27.0	453118	450831	453195.0	453119.0	453146	450830
Pf3D7_01_v3	454819.0	455639.0	+	PF3D7_0112100	28.0	28.0	301.0	301.0	454847	455338	454847.0	455338.0	454819	455639
Pf3D7_01_v3	464539.0	470595.0	+	PF3D7_0112200	187.0	5656.0	401.0	-1296.0	464726	470194	470195.0	471891.0	464539	470595
Pf3D7_01_v3	481608.0	482619.0	-	PF3D7_0112800	-1.0	599.0	810.0	0	482618	481809	483218.0	482619.0	482619	481608
Pf3D7_01_v3	486019.0	487487.0	+	PF3D7_0112900	481.0	1168.0	301.0	-354.0	486500	487186	487187.0	487841.0	486019	487487
Pf3D7_01_v3	487591.0	490128.0	-	PF3D7_0113000	-1.0	773.0	2236.0	0	490127	487892	490901.0	490128.0	490128	487591
Pf3D7_01_v3	495028.0	500477.0	+	PF3D7_0113100	216.0	5049.0	401.0	130.0	495244	500076	500077.0	500347.0	495028	500477
Pf3D7_01_v3	500558.0	503337.0	-	PF3D7_0113200	-469.0	458.0	2378.0	468.0	502868	500959	503795.0	502869.0	503337	500558
Pf3D7_01_v3	504637.0	507351.0	-	PF3D7_0113300	-477.0	108.0	2413.0	476.0	506874	504938	507459.0	506875.0	507351	504637
Pf3D7_01_v3	507951.0	510085.0	-	PF3D7_0113400	-337.0	73.0	1833.0	336.0	509748	508252	510158.0	509749.0	510085	507951
Pf3D7_01_v3	512085.0	518156.0	+	PF3D7_0113600	1.0	4497.0	301.0	301.0	512086	517855	516582.0	517855.0	512085	518156
Pf3D7_01_v3	520806.0	522980.0	+	PF3D7_0113700	1.0	1774.0	401.0	-126.0	520807	522579	522580.0	523106.0	520806	522980
Pf3D7_01_v3	527106.0	536352.0	+	PF3D7_0113800	1.0	9246.0	1.0	-210.0	527107	536351	536352.0	536562.0	527106	536352
Pf3D7_01_v3	536708.0	538479.0	-	PF3D7_0113900	-454.0	-323.0	1370.0	453.0	538025	537109	538156.0	538026.0	538479	536708
Pf3D7_01_v3	542479.0	546984.0	+	PF3D7_0114000	1.0	4505.0	1.0	-560.0	542480	546983	546984.0	547544.0	542479	546984
Pf3D7_01_v3	547196.0	548575.0	-	PF3D7_0114100	-195.0	94.0	978.0	194.0	548380	547597	548669.0	548381.0	548575	547196
Pf3D7_01_v3	550175.0	551839.0	-	PF3D7_0114200	-126.0	-126.0	1263.0	194.0	551713	550576	551713.0	551645.0	551839	550175
Pf3D7_01_v3	552614.0	554056.0	+	PF3D7_0114300	26.0	494.0	259.0	259.0	552640	553797	553108.0	553797.0	552614	554056
Pf3D7_01_v3	554056.0	555800.0	-	PF3D7_0114400	-361.0	-361.0	1743.0	1161.0	555439	554057	555439.0	554639.0	555800	554056
Pf3D7_01_v3	557800.0	558709.0	-	PF3D7_0114500	-1.0	237.0	508.0	0	558708	558201	558946.0	558709.0	558709	557800
Pf3D7_01_v3	560173.0	561702.0	-	PF3D7_0114600	-168.0	-168.0	1228.0	236.0	561534	560474	561534.0	561466.0	561702	560173
Pf3D7_01_v3	563402.0	564843.0	-	PF3D7_0114700	-1.0	-1.0	1140.0	72.0	564842	563703	564842.0	564771.0	564843	563402
Pf3D7_01_v3	569084.0	570334.0	-	PF3D7_0114800	-62.0	-62.0	849.0	130.0	570272	569485	570272.0	570204.0	570334	569084
Pf3D7_01_v3	571734.0	573103.0	-	PF3D7_0114900	-250.0	-250.0	968.0	318.0	572853	572135	572853.0	572785.0	573103	571734
Pf3D7_01_v3	577454.0	584190.0	+	PF3D7_0115000	250.0	1617.0	401.0	401.0	577704	583789	579071.0	583789.0	577454	584190
Pf3D7_01_v3	584690.0	585068.0	+	PF3D7_0115050	32.0	32.0	201.0	201.0	584722	584867	584722.0	584867.0	584690	585068
Pf3D7_01_v3	587368.0	588695.0	+	PF3D7_0115100	23.0	238.0	301.0	301.0	587391	588394	587606.0	588394.0	587368	588695
Pf3D7_01_v3	589285.0	590248.0	-	PF3D7_0115150	-254.0	-254.0	862.0	370.0	589994	589386	589994.0	589878.0	590248	589285
Pf3D7_01_v3	591395.0	593488.0	+	PF3D7_0115200	454.0	740.0	301.0	301.0	591849	593187	592135.0	593187.0	591395	593488
Pf3D7_01_v3	595101.0	596574.0	+	PF3D7_0115300	1.0	216.0	301.0	301.0	595102	596273	595317.0	596273.0	595101	596574
Pf3D7_01_v3	598374.0	599773.0	+	PF3D7_0115400	91.0	262.0	301.0	301.0	598465	599472	598636.0	599472.0	598374	599773
Pf3D7_01_v3	600573.0	602393.0	+	PF3D7_0115500	119.0	685.0	401.0	401.0	600692	601992	601258.0	601992.0	600573	602393
Pf3D7_01_v3	603793.0	605932.0	+	PF3D7_0115600	369.0	653.0	401.0	401.0	604162	605531	604446.0	605531.0	603793	605932
Pf3D7_02_v3	32629.0	34260.0	-	PF3D7_0200200	-1.0	-1.0	1230.0	69.0	34259	33030	34259.0	34191.0	34260	32629
Pf3D7_02_v3	35726.0	37250.0	-	PF3D7_0200300	-1.0	-1.0	1323.0	1323.0	37249	35927	37249.0	35927.0	37250	35726
Pf3D7_02_v3	38086.0	39304.0	-	PF3D7_0200400	-1.0	-1.0	1017.0	69.0	39303	38287	39303.0	39235.0	39304	38086
Pf3D7_02_v3	41214.0	42985.0	-	PF3D7_0200500	-127.0	-127.0	1470.0	180.0	42858	41515	42858.0	42805.0	42985	41214
Pf3D7_02_v3	44985.0	46722.0	-	PF3D7_0200600	-164.0	-164.0	1436.0	232.0	46558	45286	46558.0	46490.0	46722	44985
Pf3D7_02_v3	48622.0	50148.0	-	PF3D7_0200700	-1.0	-1.0	1225.0	54.0	50147	48923	50147.0	50094.0	50148	48622
Pf3D7_02_v3	51441.0	53353.0	-	PF3D7_0200800	-298.0	-298.0	1511.0	863.0	53055	51842	53055.0	52490.0	53353	51441
Pf3D7_02_v3	53953.0	55343.0	-	PF3D7_0200900	-88.0	-88.0	1089.0	156.0	55255	54254	55255.0	55187.0	55343	53953
Pf3D7_02_v3	57143.0	58906.0	-	PF3D7_0201000	-485.0	-485.0	1562.0	538.0	58421	57344	58421.0	58368.0	58906	57143
Pf3D7_02_v3	59806.0	60356.0	-	PF3D7_0201100	-37.0	-37.0	249.0	249.0	60319	60107	60319.0	60107.0	60356	59806
Pf3D7_02_v3	63020.0	64677.0	+	PF3D7_0201200	137.0	340.0	301.0	301.0	63157	64376	63360.0	64376.0	63020	64677
Pf3D7_02_v3	66377.0	67846.0	+	PF3D7_0201300	152.0	320.0	301.0	301.0	66529	67545	66697.0	67545.0	66377	67846
Pf3D7_02_v3	69046.0	70172.0	+	PF3D7_0201400	42.0	324.0	401.0	401.0	69088	69771	69370.0	69771.0	69046	70172
Pf3D7_02_v3	73040.0	74450.0	-	PF3D7_0201500	-54.0	2264.0	1009.0	53.0	74396	73441	76714.0	74397.0	74450	73040
Pf3D7_02_v3	76850.0	78890.0	-	PF3D7_0201600	-82.0	558.0	1639.0	81.0	78808	77251	79448.0	78809.0	78890	76850
Pf3D7_02_v3	80990.0	84166.0	-	PF3D7_0201700	-1.0	771.0	2875.0	0	84165	81291	84937.0	84166.0	84166	80990
Pf3D7_02_v3	86431.0	89217.0	-	PF3D7_0201800	-426.0	265.0	2385.0	122.0	88791	86832	89482.0	89095.0	89217	86431
Pf3D7_02_v3	91017.0	98839.0	-	PF3D7_0201900	-1.0	1318.0	7521.0	0	98838	91318	100157.0	98839.0	98839	91017
Pf3D7_02_v3	102984.0	106263.0	-	PF3D7_0202000	-467.0	399.0	2878.0	466.0	105796	103385	106662.0	105797.0	106263	102984
Pf3D7_02_v3	109163.0	110581.0	-	PF3D7_0202100	-1.0	1077.0	1017.0	0	110580	109564	111658.0	110581.0	110581	109163
Pf3D7_02_v3	112146.0	113924.0	-	PF3D7_0202200	-242.0	1140.0	1377.0	241.0	113682	112547	115064.0	113683.0	113924	112146
Pf3D7_02_v3	117224.0	118636.0	+	PF3D7_0202300	1.0	1012.0	401.0	181.0	117225	118235	118236.0	118455.0	117224	118636
Pf3D7_02_v3	120336.0	124503.0	+	PF3D7_0202400	188.0	3767.0	401.0	-587.0	120524	124102	124103.0	125090.0	120336	124503
Pf3D7_02_v3	127703.0	128615.0	+	PF3D7_0202500	291.0	612.0	301.0	-474.0	127994	128314	128315.0	129089.0	127703	128615
Pf3D7_02_v3	129041.0	134022.0	-	PF3D7_0202600	-459.0	307.0	4680.0	458.0	133563	129342	134329.0	133564.0	134022	129041
Pf3D7_02_v3	135064.0	137340.0	+	PF3D7_0202700	459.0	2076.0	201.0	-275.0	135523	137139	137140.0	137615.0	135064	137340
Pf3D7_02_v3	137356.0	138390.0	-	PF3D7_0202800	-1.0	2862.0	833.0	0	138389	137557	141252.0	138390.0	138390	137356
Pf3D7_02_v3	138590.0	141493.0	+	PF3D7_0202900	337.0	2603.0	301.0	227.0	138927	141192	141193.0	141266.0	138590	141493
Pf3D7_02_v3	141624.0	148023.0	-	PF3D7_0203000	-459.0	492.0	6398.0	458.0	147564	141625	148515.0	147565.0	148023	141624
Pf3D7_02_v3	149123.0	157036.0	-	PF3D7_0203100	-55.0	260.0	7512.0	54.0	156981	149524	157296.0	156982.0	157036	149123
Pf3D7_02_v3	157736.0	159813.0	-	PF3D7_0203200	-153.0	78.0	1676.0	152.0	159660	158137	159891.0	159661.0	159813	157736
Pf3D7_02_v3	160161.0	161643.0	+	PF3D7_0203300	353.0	1082.0	401.0	193.0	160514	161242	161243.0	161450.0	160161	161643
Pf3D7_02_v3	161664.0	163168.0	-	PF3D7_0203400	-268.0	696.0	1103.0	267.0	162900	162065	163864.0	162901.0	163168	161664
Pf3D7_02_v3	164441.0	164741.0	+	PF3D7_0203500	-172.0	-172.0	401.0	401.0	164269	164340	164269.0	164340.0	164441	164741
Pf3D7_02_v3	165841.0	168452.0	+	PF3D7_0203600	303.0	2211.0	401.0	-107.0	166144	168051	168052.0	168559.0	165841	168452
Pf3D7_02_v3	168381.0	170462.0	-	PF3D7_0203700	-326.0	305.0	1780.0	325.0	170136	168682	170767.0	170137.0	170462	168381
Pf3D7_02_v3	171162.0	175266.0	-	PF3D7_0203800	-354.0	-70.0	3703.0	353.0	174912	171563	175196.0	174913.0	175266	171162
