chr	tss_pos	tts_pos	strand	gene_id	dist_to_v48_tss	dist_to_v68_tss	dist_to_v48_tts	dist_to_v68_tts
Pf3D7_01_v3	74327	75567	+	PF3D7_0101300	236		201	
Pf3D7_01_v3	74327	75567	+	PF3D7_0101300	236		201	
Pf3D7_01_v3	74327	75567	+	PF3D7_0101300	236		201	
Pf3D7_01_v3	76810	75681	-	PF3D7_0101400	1		301	
Pf3D7_01_v3	76810	75681	-	PF3D7_0101400	1		301	
Pf3D7_01_v3	76810	75681	-	PF3D7_0101400	1		301	
Pf3D7_01_v3	76810	75681	-	PF3D7_0101400	1		301	
Pf3D7_01_v3	78010	80292	+	PF3D7_0101500	231		401	
Pf3D7_01_v3	78010	80292	+	PF3D7_0101500	231		401	
Pf3D7_01_v3	78010	80292	+	PF3D7_0101500	231		401	
Pf3D7_01_v3	78010	80292	+	PF3D7_0101500	231		401	
Pf3D7_01_v3	83107	81364	-	PF3D7_0101600	1		401	
Pf3D7_01_v3	83107	81364	-	PF3D7_0101600	1		401	
Pf3D7_01_v3	83107	81364	-	PF3D7_0101600	1		401	
Pf3D7_01_v3	83107	81364	-	PF3D7_0101600	1		401	
Pf3D7_01_v3	86402	84390	-	PF3D7_0101700	250		401	
Pf3D7_01_v3	86402	84390	-	PF3D7_0101700	250		401	
Pf3D7_01_v3	86402	84390	-	PF3D7_0101700	250		401	
Pf3D7_01_v3	86402	84390	-	PF3D7_0101700	250		401	
Pf3D7_01_v3	88241	86902	-	PF3D7_0101800	64		301	
Pf3D7_01_v3	88241	86902	-	PF3D7_0101800	64		301	
Pf3D7_01_v3	88241	86902	-	PF3D7_0101800	64		301	
Pf3D7_01_v3	88241	86902	-	PF3D7_0101800	64		301	
Pf3D7_01_v3	91612	90041	-	PF3D7_0101900	192		201	
Pf3D7_01_v3	91612	90041	-	PF3D7_0101900	192		201	
Pf3D7_01_v3	91612	90041	-	PF3D7_0101900	192		201	
Pf3D7_01_v3	91612	90041	-	PF3D7_0101900	192		201	
Pf3D7_01_v3	94149	92812	-	PF3D7_0102000	274		301	
Pf3D7_01_v3	94149	92812	-	PF3D7_0102000	274		301	
Pf3D7_01_v3	94149	92812	-	PF3D7_0102000	274		301	
Pf3D7_01_v3	94149	92812	-	PF3D7_0102000	274		301	
Pf3D7_01_v3	94776	96300	+	PF3D7_0102100	274		401	
Pf3D7_01_v3	94776	96300	+	PF3D7_0102100	274		401	
Pf3D7_01_v3	94776	96300	+	PF3D7_0102100	274		401	
Pf3D7_01_v3	94776	96300	+	PF3D7_0102100	274		401	
Pf3D7_01_v3	98400	102683	+	PF3D7_0102200	419		401	
Pf3D7_01_v3	98400	102683	+	PF3D7_0102200	419		401	
Pf3D7_01_v3	98400	102683	+	PF3D7_0102200	419		401	
Pf3D7_01_v3	98400	102683	+	PF3D7_0102200	419		401	
Pf3D7_01_v3	104703	105610	+	PF3D7_0102300	1		401	
Pf3D7_01_v3	104703	105610	+	PF3D7_0102300	1		401	
Pf3D7_01_v3	104703	105610	+	PF3D7_0102300	1		401	
Pf3D7_01_v3	104703	105610	+	PF3D7_0102300	1		401	
Pf3D7_01_v3	108449	106796	-	PF3D7_0102400	101		401	
Pf3D7_01_v3	108449	106796	-	PF3D7_0102400	101		401	
Pf3D7_01_v3	108449	106796	-	PF3D7_0102400	101		401	
Pf3D7_01_v3	108449	106796	-	PF3D7_0102400	101		401	
Pf3D7_01_v3	115940	110649	-	PF3D7_0102500	141		101	
Pf3D7_01_v3	115940	110649	-	PF3D7_0102500	141		101	
Pf3D7_01_v3	115940	110649	-	PF3D7_0102500	141		101	
Pf3D7_01_v3	115940	110649	-	PF3D7_0102500	141		101	
Pf3D7_01_v3	121250	118640	-	PF3D7_0102600	1		401	
Pf3D7_01_v3	121250	118640	-	PF3D7_0102600	1		401	
Pf3D7_01_v3	121250	118640	-	PF3D7_0102600	1		401	
Pf3D7_01_v3	121250	118640	-	PF3D7_0102600	1		401	
Pf3D7_01_v3	124516	125885	+	PF3D7_0102700	1		401	
Pf3D7_01_v3	124516	125885	+	PF3D7_0102700	1		401	
Pf3D7_01_v3	124516	125885	+	PF3D7_0102700	1		401	
Pf3D7_01_v3	124516	125885	+	PF3D7_0102700	1		401	
Pf3D7_01_v3	128359	125917	-	PF3D7_0102800	218		401	
Pf3D7_01_v3	128359	125917	-	PF3D7_0102800	218		401	
Pf3D7_01_v3	128359	125917	-	PF3D7_0102800	218		401	
Pf3D7_01_v3	128359	125917	-	PF3D7_0102800	218		401	
Pf3D7_01_v3	131285	128559	-	PF3D7_0102900	445		401	
Pf3D7_01_v3	131285	128559	-	PF3D7_0102900	445		401	
Pf3D7_01_v3	131285	128559	-	PF3D7_0102900	445		401	
Pf3D7_01_v3	131285	128559	-	PF3D7_0102900	445		401	
Pf3D7_01_v3	133752	131685	-	PF3D7_0103000	128		401	
Pf3D7_01_v3	133752	131685	-	PF3D7_0103000	128		401	
Pf3D7_01_v3	133752	131685	-	PF3D7_0103000	128		401	
Pf3D7_01_v3	133752	131685	-	PF3D7_0103000	128		401	
Pf3D7_01_v3	139258	133952	-	PF3D7_0103100	1		401	
Pf3D7_01_v3	139258	133952	-	PF3D7_0103100	1		401	
Pf3D7_01_v3	139258	133952	-	PF3D7_0103100	1		401	
Pf3D7_01_v3	139258	133952	-	PF3D7_0103100	1		401	
Pf3D7_01_v3	142439	140261	-	PF3D7_0103200	220		401	
Pf3D7_01_v3	142439	140261	-	PF3D7_0103200	220		401	
Pf3D7_01_v3	142439	140261	-	PF3D7_0103200	220		401	
Pf3D7_01_v3	142439	140261	-	PF3D7_0103200	220		401	
Pf3D7_01_v3	146714	143239	-	PF3D7_0103300	318		401	
Pf3D7_01_v3	146714	143239	-	PF3D7_0103300	318		401	
Pf3D7_01_v3	146714	143239	-	PF3D7_0103300	318		401	
Pf3D7_01_v3	146714	143239	-	PF3D7_0103300	318		401	
Pf3D7_01_v3	153075	147514	-	PF3D7_0103400	298		401	
Pf3D7_01_v3	153075	147514	-	PF3D7_0103400	298		401	
Pf3D7_01_v3	153075	147514	-	PF3D7_0103400	298		401	
Pf3D7_01_v3	153075	147514	-	PF3D7_0103400	298		401	
Pf3D7_01_v3	154175	160727	+	PF3D7_0103500	1		301	
Pf3D7_01_v3	154175	160727	+	PF3D7_0103500	1		301	
Pf3D7_01_v3	154175	160727	+	PF3D7_0103500	1		301	
Pf3D7_01_v3	154175	160727	+	PF3D7_0103500	1		301	
Pf3D7_01_v3	161027	166230	+	PF3D7_0103600	104		1	
Pf3D7_01_v3	161027	166230	+	PF3D7_0103600	104		1	
Pf3D7_01_v3	161027	166230	+	PF3D7_0103600	104		1	
Pf3D7_01_v3	161027	166230	+	PF3D7_0103600	104		1	
Pf3D7_01_v3	166512	168788	+	PF3D7_0103700	1		101	
Pf3D7_01_v3	166512	168788	+	PF3D7_0103700	1		101	
Pf3D7_01_v3	166512	168788	+	PF3D7_0103700	1		101	
Pf3D7_01_v3	166512	168788	+	PF3D7_0103700	1		101	
Pf3D7_01_v3	171463	168778	-	PF3D7_0103800	190		301	
Pf3D7_01_v3	171463	168778	-	PF3D7_0103800	190		301	
Pf3D7_01_v3	171463	168778	-	PF3D7_0103800	190		301	
Pf3D7_01_v3	171463	168778	-	PF3D7_0103800	190		301	
Pf3D7_01_v3	172574	174892	+	PF3D7_0103900	290		301	
Pf3D7_01_v3	172574	174892	+	PF3D7_0103900	290		301	
Pf3D7_01_v3	172574	174892	+	PF3D7_0103900	290		301	
Pf3D7_01_v3	172574	174892	+	PF3D7_0103900	290		301	
Pf3D7_01_v3	175592	176577	+	PF3D7_0104000	17		201	
Pf3D7_01_v3	175592	176577	+	PF3D7_0104000	17		201	
Pf3D7_01_v3	175592	176577	+	PF3D7_0104000	17		201	
Pf3D7_01_v3	175592	176577	+	PF3D7_0104000	17		201	
Pf3D7_01_v3	177777	180991	+	PF3D7_0104100	310		201	
Pf3D7_01_v3	177777	180991	+	PF3D7_0104100	310		201	
Pf3D7_01_v3	177777	180991	+	PF3D7_0104100	310		201	
Pf3D7_01_v3	177777	180991	+	PF3D7_0104100	310		201	
Pf3D7_01_v3	184568	182421	-	PF3D7_0104200	346		401	
Pf3D7_01_v3	184568	182421	-	PF3D7_0104200	346		401	
Pf3D7_01_v3	184568	182421	-	PF3D7_0104200	346		401	
Pf3D7_01_v3	184568	182421	-	PF3D7_0104200	346		401	
Pf3D7_01_v3	190123	201631	+	PF3D7_0104300	146		401	
Pf3D7_01_v3	190123	201631	+	PF3D7_0104300	146		401	
Pf3D7_01_v3	190123	201631	+	PF3D7_0104300	146		401	
Pf3D7_01_v3	190123	201631	+	PF3D7_0104300	146		401	
Pf3D7_01_v3	202431	204444	+	PF3D7_0104400	105		301	
Pf3D7_01_v3	202431	204444	+	PF3D7_0104400	105		301	
Pf3D7_01_v3	202431	204444	+	PF3D7_0104400	105		301	
Pf3D7_01_v3	202431	204444	+	PF3D7_0104400	105		301	
Pf3D7_01_v3	205569	204321	-	PF3D7_0104500	114		301	
Pf3D7_01_v3	205569	204321	-	PF3D7_0104500	114		301	
Pf3D7_01_v3	205569	204321	-	PF3D7_0104500	114		301	
Pf3D7_01_v3	205569	204321	-	PF3D7_0104500	114		301	
Pf3D7_01_v3	205856	210590	+	PF3D7_0104600	314		401	
Pf3D7_01_v3	205856	210590	+	PF3D7_0104600	314		401	
Pf3D7_01_v3	205856	210590	+	PF3D7_0104600	314		401	
Pf3D7_01_v3	205856	210590	+	PF3D7_0104600	314		401	
Pf3D7_01_v3	210790	213406	+	PF3D7_0104700	80		401	
Pf3D7_01_v3	210790	213406	+	PF3D7_0104700	80		401	
Pf3D7_01_v3	210790	213406	+	PF3D7_0104700	80		401	
Pf3D7_01_v3	210790	213406	+	PF3D7_0104700	80		401	
Pf3D7_01_v3	215406	217910	+	PF3D7_0104800	370		401	
Pf3D7_01_v3	215406	217910	+	PF3D7_0104800	370		401	
Pf3D7_01_v3	215406	217910	+	PF3D7_0104800	370		401	
Pf3D7_01_v3	215406	217910	+	PF3D7_0104800	370		401	
Pf3D7_01_v3	219301	218116	-	PF3D7_0104900	477		401	
Pf3D7_01_v3	219501	218516	-	PF3D7_0105000	278		378	
Pf3D7_01_v3	220824	221934	+	PF3D7_0105100	378		301	
Pf3D7_01_v3	220824	221934	+	PF3D7_0105100	378		301	
Pf3D7_01_v3	220824	221934	+	PF3D7_0105100	378		301	
Pf3D7_01_v3	220824	221934	+	PF3D7_0105100	378		301	
Pf3D7_01_v3	224309	221853	-	PF3D7_0105200	349		401	
Pf3D7_01_v3	224309	221853	-	PF3D7_0105200	349		401	
Pf3D7_01_v3	224309	221853	-	PF3D7_0105200	349		401	
Pf3D7_01_v3	224309	221853	-	PF3D7_0105200	349		401	
Pf3D7_01_v3	225880	224709	-	PF3D7_0105300	101		401	
Pf3D7_01_v3	225880	224709	-	PF3D7_0105300	101		401	
Pf3D7_01_v3	225880	224709	-	PF3D7_0105300	101		401	
Pf3D7_01_v3	225880	224709	-	PF3D7_0105300	101		401	
Pf3D7_01_v3	227484	226280	-	PF3D7_0105400	199		401	
Pf3D7_01_v3	227484	226280	-	PF3D7_0105400	199		401	
Pf3D7_01_v3	227484	226280	-	PF3D7_0105400	199		401	
Pf3D7_01_v3	227484	226280	-	PF3D7_0105400	199		401	
Pf3D7_01_v3	227484	226280	-	PF3D7_0105400	199		401	
Pf3D7_01_v3	227484	226280	-	PF3D7_0105400	199		401	
Pf3D7_01_v3	227484	226280	-	PF3D7_0105400	199		401	
Pf3D7_01_v3	227484	226280	-	PF3D7_0105400	199		401	
Pf3D7_01_v3	227484	226280	-	PF3D7_0105400	199		401	
Pf3D7_01_v3	229788	228084	-	PF3D7_0105500	269		401	
Pf3D7_01_v3	229788	228084	-	PF3D7_0105500	269		401	
Pf3D7_01_v3	229788	228084	-	PF3D7_0105500	269		401	
Pf3D7_01_v3	229788	228084	-	PF3D7_0105500	269		401	
Pf3D7_01_v3	234765	229888	-	PF3D7_0105600	363		401	
Pf3D7_01_v3	234765	229888	-	PF3D7_0105600	363		401	
Pf3D7_01_v3	234765	229888	-	PF3D7_0105600	363		401	
Pf3D7_01_v3	234765	229888	-	PF3D7_0105600	363		401	
Pf3D7_01_v3	238503	248258	+	PF3D7_0105700	163		401	
Pf3D7_01_v3	238503	248258	+	PF3D7_0105700	163		401	
Pf3D7_01_v3	238503	248258	+	PF3D7_0105700	163		401	
Pf3D7_01_v3	238503	248258	+	PF3D7_0105700	163		401	
Pf3D7_01_v3	252083	248830	-	PF3D7_0105800	73		401	
Pf3D7_01_v3	252083	248830	-	PF3D7_0105800	73		401	
Pf3D7_01_v3	252083	248830	-	PF3D7_0105800	73		401	
Pf3D7_01_v3	252083	248830	-	PF3D7_0105800	73		401	
Pf3D7_01_v3	253111	255331	+	PF3D7_0105900	473		401	
Pf3D7_01_v3	253111	255331	+	PF3D7_0105900	473		401	
Pf3D7_01_v3	253111	255331	+	PF3D7_0105900	473		401	
Pf3D7_01_v3	253111	255331	+	PF3D7_0105900	473		401	
Pf3D7_01_v3	258957	255374	-	PF3D7_0106000	414		401	
Pf3D7_01_v3	258957	255374	-	PF3D7_0106000	414		401	
Pf3D7_01_v3	258957	255374	-	PF3D7_0106000	414		401	
Pf3D7_01_v3	258957	255374	-	PF3D7_0106000	414		401	
Pf3D7_01_v3	262239	260357	-	PF3D7_0106100	430		301	
Pf3D7_01_v3	262239	260357	-	PF3D7_0106100	430		301	
Pf3D7_01_v3	262239	260357	-	PF3D7_0106100	430		301	
Pf3D7_01_v3	262239	260357	-	PF3D7_0106100	430		301	
Pf3D7_01_v3	264307	263239	-	PF3D7_0106200	84		101	
Pf3D7_01_v3	264307	263239	-	PF3D7_0106200	84		101	
Pf3D7_01_v3	264307	263239	-	PF3D7_0106200	84		101	
Pf3D7_01_v3	264307	263239	-	PF3D7_0106200	84		101	
Pf3D7_01_v3	269174	264807	-	PF3D7_0106300	1		401	
Pf3D7_01_v3	269174	264807	-	PF3D7_0106300	1		401	
Pf3D7_01_v3	269174	264807	-	PF3D7_0106300	1		401	
Pf3D7_01_v3	269174	264807	-	PF3D7_0106300	1		401	
Pf3D7_01_v3	272453	273405	+	PF3D7_0106400	1		1	
Pf3D7_01_v3	272453	273405	+	PF3D7_0106400	1		1	
Pf3D7_01_v3	272453	273405	+	PF3D7_0106400	1		1	
Pf3D7_01_v3	272453	273405	+	PF3D7_0106400	1		1	
Pf3D7_01_v3	274205	278751	+	PF3D7_0106500	110		201	
Pf3D7_01_v3	274205	278751	+	PF3D7_0106500	110		201	
Pf3D7_01_v3	274205	278751	+	PF3D7_0106500	110		201	
Pf3D7_01_v3	274205	278751	+	PF3D7_0106500	110		201	
Pf3D7_01_v3	279114	280315	+	PF3D7_0106600	1		301	
Pf3D7_01_v3	279114	280315	+	PF3D7_0106600	1		301	
Pf3D7_01_v3	279114	280315	+	PF3D7_0106600	1		301	
Pf3D7_01_v3	279114	280315	+	PF3D7_0106600	1		301	
Pf3D7_01_v3	280815	285860	+	PF3D7_0106700	340		401	
Pf3D7_01_v3	280815	285860	+	PF3D7_0106700	340		401	
Pf3D7_01_v3	280815	285860	+	PF3D7_0106700	340		401	
Pf3D7_01_v3	280815	285860	+	PF3D7_0106700	340		401	
Pf3D7_01_v3	286860	289319	+	PF3D7_0106800	91		401	
Pf3D7_01_v3	286860	289319	+	PF3D7_0106800	91		401	
Pf3D7_01_v3	286860	289319	+	PF3D7_0106800	91		401	
Pf3D7_01_v3	286860	289319	+	PF3D7_0106800	91		401	
Pf3D7_01_v3	290019	292891	+	PF3D7_0106900	367		301	
Pf3D7_01_v3	290019	292891	+	PF3D7_0106900	367		301	
Pf3D7_01_v3	290019	292891	+	PF3D7_0106900	367		301	
Pf3D7_01_v3	290019	292891	+	PF3D7_0106900	367		301	
Pf3D7_01_v3	293291	294969	+	PF3D7_0107000	351		1	
Pf3D7_01_v3	293291	294969	+	PF3D7_0107000	351		1	
Pf3D7_01_v3	293291	294969	+	PF3D7_0107000	351		1	
Pf3D7_01_v3	293291	294969	+	PF3D7_0107000	351		1	
Pf3D7_01_v3	296961	294969	-	PF3D7_0107100	30		331	
Pf3D7_01_v3	296961	294969	-	PF3D7_0107100	30		331	
Pf3D7_01_v3	296961	294969	-	PF3D7_0107100	30		331	
Pf3D7_01_v3	296961	294969	-	PF3D7_0107100	30		331	
Pf3D7_01_v3	297232	299398	+	PF3D7_0107200	130		1	
Pf3D7_01_v3	297232	299398	+	PF3D7_0107200	130		1	
Pf3D7_01_v3	297232	299398	+	PF3D7_0107200	130		1	
Pf3D7_01_v3	297232	299398	+	PF3D7_0107200	130		1	
Pf3D7_01_v3	301036	299398	-	PF3D7_0107300	168		164	
Pf3D7_01_v3	301036	299398	-	PF3D7_0107300	168		164	
Pf3D7_01_v3	301036	299398	-	PF3D7_0107300	168		164	
Pf3D7_01_v3	301036	299398	-	PF3D7_0107300	168		164	
Pf3D7_01_v3	302669	303799	+	PF3D7_0107400	268		401	
Pf3D7_01_v3	302669	303799	+	PF3D7_0107400	268		401	
Pf3D7_01_v3	302669	303799	+	PF3D7_0107400	268		401	
Pf3D7_01_v3	302669	303799	+	PF3D7_0107400	268		401	
Pf3D7_01_v3	309317	304061	-	PF3D7_0107500	60		301	
Pf3D7_01_v3	309317	304061	-	PF3D7_0107500	60		301	
Pf3D7_01_v3	309317	304061	-	PF3D7_0107500	60		301	
Pf3D7_01_v3	309317	304061	-	PF3D7_0107500	60		301	
Pf3D7_01_v3	314458	319706	+	PF3D7_0107600	160		301	
Pf3D7_01_v3	314458	319706	+	PF3D7_0107600	160		301	
Pf3D7_01_v3	314458	319706	+	PF3D7_0107600	160		301	
Pf3D7_01_v3	314458	319706	+	PF3D7_0107600	160		301	
Pf3D7_01_v3	320167	321509	+	PF3D7_0107700	1		1	
Pf3D7_01_v3	320167	321509	+	PF3D7_0107700	1		1	
Pf3D7_01_v3	320167	321509	+	PF3D7_0107700	1		1	
Pf3D7_01_v3	320167	321509	+	PF3D7_0107700	1		1	
Pf3D7_01_v3	322209	326173	+	PF3D7_0107800	162		101	
Pf3D7_01_v3	322209	326173	+	PF3D7_0107800	162		101	
Pf3D7_01_v3	322209	326173	+	PF3D7_0107800	162		101	
Pf3D7_01_v3	322209	326173	+	PF3D7_0107800	162		101	
Pf3D7_01_v3	327430	326396	-	PF3D7_0107900	206		1	
Pf3D7_01_v3	327430	326396	-	PF3D7_0107900	206		1	
Pf3D7_01_v3	327430	326396	-	PF3D7_0107900	206		1	
Pf3D7_01_v3	327430	326396	-	PF3D7_0107900	206		1	
Pf3D7_01_v3	329837	328030	-	PF3D7_0108000	279		401	
Pf3D7_01_v3	329837	328030	-	PF3D7_0108000	279		401	
Pf3D7_01_v3	329837	328030	-	PF3D7_0108000	279		401	
Pf3D7_01_v3	329837	328030	-	PF3D7_0108000	279		401	
Pf3D7_01_v3	330737	333109	+	PF3D7_0108100	1		401	
Pf3D7_01_v3	330737	333109	+	PF3D7_0108100	1		401	
Pf3D7_01_v3	330737	333109	+	PF3D7_0108100	1		401	
Pf3D7_01_v3	330737	333109	+	PF3D7_0108100	1		401	
Pf3D7_01_v3	337167	344234	+	PF3D7_0108300	1		401	
Pf3D7_01_v3	337167	344234	+	PF3D7_0108300	1		401	
Pf3D7_01_v3	337167	344234	+	PF3D7_0108300	1		401	
Pf3D7_01_v3	337167	344234	+	PF3D7_0108300	1		401	
Pf3D7_01_v3	346769	343999	-	PF3D7_0108400	229		401	
Pf3D7_01_v3	346769	343999	-	PF3D7_0108400	229		401	
Pf3D7_01_v3	346769	343999	-	PF3D7_0108400	229		401	
Pf3D7_01_v3	346769	343999	-	PF3D7_0108400	229		401	
Pf3D7_01_v3	346769	343999	-	PF3D7_0108400	229		401	
Pf3D7_01_v3	346769	343999	-	PF3D7_0108400	229		401	
Pf3D7_01_v3	349169	349994	+	PF3D7_0108500	1		285	
Pf3D7_01_v3	349169	349994	+	PF3D7_0108500	1		285	
Pf3D7_01_v3	349169	349994	+	PF3D7_0108500	1		285	
Pf3D7_01_v3	349169	349994	+	PF3D7_0108500	1		285	
Pf3D7_01_v3	351627	349994	-	PF3D7_0108600	1		1	
Pf3D7_01_v3	351627	349994	-	PF3D7_0108600	1		1	
Pf3D7_01_v3	351627	349994	-	PF3D7_0108600	1		1	
Pf3D7_01_v3	351627	349994	-	PF3D7_0108600	1		1	
Pf3D7_01_v3	356433	352013	-	PF3D7_0108700	222		301	
Pf3D7_01_v3	356433	352013	-	PF3D7_0108700	222		301	
Pf3D7_01_v3	356433	352013	-	PF3D7_0108700	222		301	
Pf3D7_01_v3	356433	352013	-	PF3D7_0108700	222		301	
Pf3D7_01_v3	357512	360740	+	PF3D7_0108800	322		401	
Pf3D7_01_v3	357512	360740	+	PF3D7_0108800	322		401	
Pf3D7_01_v3	357512	360740	+	PF3D7_0108800	322		401	
Pf3D7_01_v3	357512	360740	+	PF3D7_0108800	322		401	
Pf3D7_01_v3	362587	361586	-	PF3D7_0108900	1		401	
Pf3D7_01_v3	363187	364393	+	PF3D7_0109000	131		401	
Pf3D7_01_v3	363187	364393	+	PF3D7_0109000	131		401	
Pf3D7_01_v3	363187	364393	+	PF3D7_0109000	131		401	
Pf3D7_01_v3	363187	364393	+	PF3D7_0109000	131		401	
Pf3D7_01_v3	365293	369196	+	PF3D7_0109100	317		401	
Pf3D7_01_v3	365293	369196	+	PF3D7_0109100	317		401	
Pf3D7_01_v3	365293	369196	+	PF3D7_0109100	317		401	
Pf3D7_01_v3	365293	369196	+	PF3D7_0109100	317		401	
Pf3D7_01_v3	370614	369079	-	PF3D7_0109200	436		401	
Pf3D7_01_v3	370614	369079	-	PF3D7_0109200	436		401	
Pf3D7_01_v3	370614	369079	-	PF3D7_0109200	436		401	
Pf3D7_01_v3	370614	369079	-	PF3D7_0109200	436		401	
Pf3D7_01_v3	373013	371614	-	PF3D7_0109300	1		201	
Pf3D7_01_v3	373013	371614	-	PF3D7_0109300	1		201	
Pf3D7_01_v3	373013	371614	-	PF3D7_0109300	1		201	
Pf3D7_01_v3	373013	371614	-	PF3D7_0109300	1		201	
Pf3D7_01_v3	375088	374038	-	PF3D7_0109400	1		401	
Pf3D7_01_v3	375088	374038	-	PF3D7_0109400	1		401	
Pf3D7_01_v3	375088	374038	-	PF3D7_0109400	1		401	
Pf3D7_01_v3	375088	374038	-	PF3D7_0109400	1		401	
Pf3D7_01_v3	377373	375993	-	PF3D7_0109500	369		301	
Pf3D7_01_v3	377373	375993	-	PF3D7_0109500	369		301	
Pf3D7_01_v3	377373	375993	-	PF3D7_0109500	369		301	
Pf3D7_01_v3	377373	375993	-	PF3D7_0109500	369		301	
Pf3D7_01_v3	378748	377773	-	PF3D7_0109600	149		101	
Pf3D7_01_v3	378748	377773	-	PF3D7_0109600	149		101	
Pf3D7_01_v3	378748	377773	-	PF3D7_0109600	149		101	
Pf3D7_01_v3	378748	377773	-	PF3D7_0109600	149		101	
Pf3D7_01_v3	379996	378948	-	PF3D7_0109700	190		201	
Pf3D7_01_v3	379996	378948	-	PF3D7_0109700	190		201	
Pf3D7_01_v3	379996	378948	-	PF3D7_0109700	190		201	
Pf3D7_01_v3	379996	378948	-	PF3D7_0109700	190		201	
Pf3D7_01_v3	380307	382825	+	PF3D7_0109800	390		401	
Pf3D7_01_v3	380307	382825	+	PF3D7_0109800	390		401	
Pf3D7_01_v3	380307	382825	+	PF3D7_0109800	390		401	
Pf3D7_01_v3	380307	382825	+	PF3D7_0109800	390		401	
Pf3D7_01_v3	383225	386633	+	PF3D7_0109850	59		1	
Pf3D7_01_v3	383225	386633	+	PF3D7_0109850	59		1	
Pf3D7_01_v3	383225	386633	+	PF3D7_0109850	59		1	
Pf3D7_01_v3	383225	386633	+	PF3D7_0109850	59		1	
Pf3D7_01_v3	386633	388141	+	PF3D7_0109950	75		201	
Pf3D7_01_v3	386633	388141	+	PF3D7_0109950	75		201	
Pf3D7_01_v3	386633	388141	+	PF3D7_0109950	75		201	
Pf3D7_01_v3	386633	388141	+	PF3D7_0109950	75		201	
Pf3D7_01_v3	388371	389177	+	PF3D7_0110000	1		101	
Pf3D7_01_v3	388371	389177	+	PF3D7_0110000	1		101	
Pf3D7_01_v3	388371	389177	+	PF3D7_0110000	1		101	
Pf3D7_01_v3	388371	389177	+	PF3D7_0110000	1		101	
Pf3D7_01_v3	392066	389160	-	PF3D7_0110100	1		101	
Pf3D7_01_v3	392066	389160	-	PF3D7_0110100	1		101	
