chr	position	strand
Pf3D7_07_v3	12261	+
Pf3D7_08_v3	1462935	+
Pf3D7_01_v3	10280	-
Pf3D7_12_v3	2269069	+
Pf3D7_01_v3	617431	+
Pf3D7_06_v3	1387157	+
Pf3D7_03_v3	30903	-
Pf3D7_08_v3	1391	-
Pf3D7_04_v3	5327	-
Pf3D7_12_v3	2815	+
Pf3D7_06_v3	1384571	-
Pf3D7_09_v3	1508499	+
Pf3D7_03_v3	1055649	-
Pf3D7_01_v3	18999	-
Pf3D7_06_v3	1386320	+
Pf3D7_08_v3	19177	-
Pf3D7_07_v3	1877	-
Pf3D7_13_v3	2915409	-
Pf3D7_10_v3	22099	-
Pf3D7_13_v3	2910190	+
Pf3D7_04_v3	13646	-
Pf3D7_10_v3	1654791	+
Pf3D7_08_v3	1451176	+
Pf3D7_09_v3	16349	+
Pf3D7_13_v3	2904785	+
Pf3D7_09_v3	1505391	-
Pf3D7_12_v3	2265585	+
Pf3D7_10_v3	18876	+
Pf3D7_02_v3	1609	+
Pf3D7_10_v3	1411	-
Pf3D7_07_v3	2282	-
Pf3D7_13_v3	1041	-
Pf3D7_11_v3	14370	-
Pf3D7_02_v3	3216	+
Pf3D7_02_v3	938157	-
Pf3D7_01_v3	620133	-
Pf3D7_07_v3	1444706	-
Pf3D7_01_v3	633959	+
Pf3D7_10_v3	10342	+
Pf3D7_08_v3	1456515	-
Pf3D7_11_v3	1518	+
Pf3D7_04_v3	1524	+
Pf3D7_08_v3	10939	+
Pf3D7_02_v3	552	+
Pf3D7_12_v3	2263601	+
Pf3D7_03_v3	13804	-
Pf3D7_02_v3	3386	+
Pf3D7_03_v3	19336	-
Pf3D7_11_v3	12892	+
Pf3D7_02_v3	18097	-
Pf3D7_09_v3	3802	+
Pf3D7_10_v3	1670960	-
Pf3D7_10_v3	1681929	-
Pf3D7_03_v3	9746	-
Pf3D7_01_v3	636706	+
Pf3D7_06_v3	1408609	-
Pf3D7_03_v3	15508	+
Pf3D7_10_v3	24385	+
Pf3D7_04_v3	1199844	+
Pf3D7_06_v3	1391667	-
Pf3D7_02_v3	23758	-
Pf3D7_08_v3	1444358	-
Pf3D7_03_v3	4666	-
Pf3D7_09_v3	1505720	+
Pf3D7_01_v3	624951	+
Pf3D7_13_v3	2923258	+
Pf3D7_09_v3	1526691	+
Pf3D7_03_v3	22255	-
Pf3D7_01_v3	2438	-
Pf3D7_04_v3	1191077	-
Pf3D7_02_v3	933051	-
Pf3D7_03_v3	17305	-
Pf3D7_12_v3	4245	-
Pf3D7_09_v3	3875	+
Pf3D7_03_v3	34364	-
Pf3D7_08_v3	1460213	-
Pf3D7_03_v3	1051002	-
Pf3D7_13_v3	2896157	-
Pf3D7_01_v3	21915	-
Pf3D7_10_v3	13048	-
Pf3D7_10_v3	1665033	+
Pf3D7_01_v3	632476	+
Pf3D7_03_v3	4758	-
Pf3D7_05_v3	10741	-
Pf3D7_12_v3	14027	+
Pf3D7_08_v3	9442	+
Pf3D7_09_v3	1504110	-
Pf3D7_10_v3	1659249	-
Pf3D7_11_v3	1305	+
Pf3D7_07_v3	9800	-
Pf3D7_07_v3	1433623	+
Pf3D7_10_v3	3657	+
Pf3D7_03_v3	1058942	-
Pf3D7_12_v3	2870	-
Pf3D7_01_v3	9819	-
Pf3D7_03_v3	35651	+
Pf3D7_10_v3	1653214	+
Pf3D7_04_v3	1185855	-
Pf3D7_02_v3	931576	-
Pf3D7_03_v3	18363	-
Pf3D7_08_v3	4986	+
Pf3D7_12_v3	15763	-
Pf3D7_01_v3	615840	+
Pf3D7_01_v3	27242	-
Pf3D7_07_v3	10478	-
Pf3D7_13_v3	2895041	+
Pf3D7_03_v3	1042496	+
Pf3D7_13_v3	2897075	-
Pf3D7_12_v3	2255944	+
Pf3D7_04_v3	9245	+
Pf3D7_11_v3	14952	-
Pf3D7_09_v3	1515808	-
Pf3D7_07_v3	1440197	+
Pf3D7_06_v3	1393650	-
Pf3D7_11_v3	6144	+
Pf3D7_10_v3	1660925	+
Pf3D7_10_v3	1662911	+
Pf3D7_14_v3	1062	+
Pf3D7_07_v3	4838	-
Pf3D7_11_v3	6372	-
Pf3D7_12_v3	15550	+
Pf3D7_03_v3	23597	+
Pf3D7_01_v3	5475	+
Pf3D7_06_v3	1413652	+
Pf3D7_12_v3	2977	-
Pf3D7_04_v3	4500	-
Pf3D7_10_v3	12288	+
Pf3D7_01_v3	19864	-
Pf3D7_04_v3	1184719	+
Pf3D7_09_v3	14480	+
Pf3D7_02_v3	3800	-
Pf3D7_12_v3	2266731	+
Pf3D7_02_v3	926524	-
Pf3D7_12_v3	2259806	+
Pf3D7_03_v3	23107	+
Pf3D7_13_v3	2902178	-
Pf3D7_09_v3	11765	-
Pf3D7_01_v3	633022	-
Pf3D7_01_v3	632054	-
Pf3D7_01_v3	625685	+
Pf3D7_08_v3	1466341	+
Pf3D7_11_v3	17061	+
Pf3D7_06_v3	1394784	-
Pf3D7_06_v3	1408959	+
Pf3D7_08_v3	1470479	-
Pf3D7_08_v3	16620	+
Pf3D7_09_v3	1531693	-
Pf3D7_07_v3	15017	+
Pf3D7_10_v3	22219	-
Pf3D7_14_v3	367	+
Pf3D7_04_v3	1195062	-
Pf3D7_01_v3	5731	+
Pf3D7_02_v3	8692	-
Pf3D7_08_v3	1470938	-
Pf3D7_04_v3	1186543	-
Pf3D7_13_v3	17248	-
Pf3D7_09_v3	8121	-
Pf3D7_08_v3	4271	+
Pf3D7_10_v3	1654347	-
Pf3D7_03_v3	1054943	+
Pf3D7_11_v3	10523	-
Pf3D7_01_v3	14693	-
Pf3D7_09_v3	830	-
Pf3D7_13_v3	5482	+
Pf3D7_10_v3	1650913	+
Pf3D7_12_v3	4916	+
Pf3D7_06_v3	1415857	+
Pf3D7_11_v3	3552	-
Pf3D7_08_v3	1463947	-
Pf3D7_09_v3	112	+
Pf3D7_01_v3	629833	+
Pf3D7_03_v3	33241	+
Pf3D7_08_v3	1454016	-
Pf3D7_01_v3	620662	+
Pf3D7_10_v3	1671814	-
Pf3D7_11_v3	6505	+
Pf3D7_13_v3	18228	-
Pf3D7_02_v3	20587	+
Pf3D7_13_v3	13338	+
Pf3D7_01_v3	631774	+
Pf3D7_07_v3	11804	-
Pf3D7_11_v3	17146	-
Pf3D7_01_v3	627277	+
Pf3D7_01_v3	27865	+
Pf3D7_01_v3	9934	-
Pf3D7_07_v3	1427144	+
Pf3D7_11_v3	16289	+
Pf3D7_02_v3	16058	+
Pf3D7_02_v3	23787	-
Pf3D7_08_v3	1455563	+
Pf3D7_03_v3	1051382	-
Pf3D7_10_v3	15517	+
Pf3D7_13_v3	2906154	-
Pf3D7_10_v3	1679720	+
Pf3D7_12_v3	2259013	-
Pf3D7_08_v3	15946	-
Pf3D7_11_v3	9923	+
Pf3D7_03_v3	8125	+
Pf3D7_01_v3	640616	+
Pf3D7_09_v3	1523912	+
Pf3D7_01_v3	633478	+
Pf3D7_12_v3	2262574	-
Pf3D7_09_v3	1517615	-
Pf3D7_13_v3	2924362	-
Pf3D7_04_v3	10312	-
Pf3D7_07_v3	1445082	-
Pf3D7_10_v3	1666659	+
Pf3D7_03_v3	1039786	+
Pf3D7_08_v3	748	+
Pf3D7_09_v3	1540744	-
Pf3D7_13_v3	2910411	+
Pf3D7_10_v3	1665067	+
Pf3D7_02_v3	19675	-
Pf3D7_07_v3	12091	+
Pf3D7_08_v3	1463126	+
Pf3D7_02_v3	939943	+
Pf3D7_06_v3	1390329	+
Pf3D7_04_v3	2451	+
Pf3D7_02_v3	17654	+
Pf3D7_07_v3	1427379	-
Pf3D7_02_v3	940717	+
Pf3D7_08_v3	1447995	-
Pf3D7_02_v3	930317	+
Pf3D7_10_v3	19542	+
Pf3D7_03_v3	22483	+
Pf3D7_12_v3	2266727	-
Pf3D7_01_v3	17556	-
Pf3D7_08_v3	974	+
Pf3D7_04_v3	23310	-
Pf3D7_03_v3	7788	+
Pf3D7_07_v3	2666	+
Pf3D7_11_v3	20486	-
Pf3D7_13_v3	3984	-
Pf3D7_04_v3	14880	+
Pf3D7_02_v3	935403	+
Pf3D7_10_v3	21247	+
Pf3D7_08_v3	1445548	-
Pf3D7_03_v3	3851	+
Pf3D7_10_v3	1666098	-
Pf3D7_08_v3	9631	-
Pf3D7_09_v3	1533764	+
Pf3D7_05_v3	12202	+
Pf3D7_06_v3	1388598	-
Pf3D7_03_v3	35332	+
Pf3D7_10_v3	1667735	-
Pf3D7_02_v3	946297	-
Pf3D7_10_v3	1687279	-
Pf3D7_10_v3	1652674	+
Pf3D7_10_v3	1669430	+
Pf3D7_01_v3	12127	+
Pf3D7_03_v3	1053504	+
Pf3D7_07_v3	6073	-
Pf3D7_08_v3	1460224	+
Pf3D7_13_v3	10063	-
Pf3D7_05_v3	3747	-
Pf3D7_12_v3	2255966	-
Pf3D7_02_v3	927691	-
Pf3D7_05_v3	16993	-
Pf3D7_01_v3	632738	+
Pf3D7_10_v3	1665063	-
Pf3D7_02_v3	933350	-
Pf3D7_03_v3	1041414	+
Pf3D7_10_v3	1661462	+
Pf3D7_08_v3	18812	-
Pf3D7_01_v3	903	+
Pf3D7_01_v3	4199	+
Pf3D7_07_v3	1442402	-
Pf3D7_04_v3	14443	-
Pf3D7_03_v3	1167	-
Pf3D7_09_v3	9414	-
Pf3D7_03_v3	27070	-
Pf3D7_08_v3	1454130	-
Pf3D7_05_v3	7695	-
Pf3D7_03_v3	22787	-
Pf3D7_02_v3	937968	-
Pf3D7_03_v3	1065172	-
Pf3D7_01_v3	7117	-
Pf3D7_04_v3	7663	-
Pf3D7_12_v3	2253061	+
Pf3D7_11_v3	15505	-
Pf3D7_05_v3	10745	-
Pf3D7_08_v3	1454183	-
Pf3D7_08_v3	1464126	-
Pf3D7_11_v3	8784	-
Pf3D7_03_v3	1044770	+
Pf3D7_04_v3	14985	+
Pf3D7_04_v3	12113	+
Pf3D7_01_v3	11649	+
Pf3D7_04_v3	12343	+
Pf3D7_12_v3	2269622	+
Pf3D7_13_v3	4416	+
Pf3D7_02_v3	6688	+
Pf3D7_07_v3	11070	-
Pf3D7_05_v3	941	-
Pf3D7_07_v3	1429641	+
Pf3D7_08_v3	1460439	-
Pf3D7_01_v3	14648	-
Pf3D7_11_v3	2037558	-
Pf3D7_13_v3	2897401	+
Pf3D7_09_v3	1536235	-
Pf3D7_09_v3	1522371	+
Pf3D7_08_v3	3155	+
Pf3D7_04_v3	1187098	+
Pf3D7_02_v3	929519	-
Pf3D7_08_v3	1457186	+
Pf3D7_01_v3	13488	-
Pf3D7_11_v3	10115	-
Pf3D7_06_v3	1399473	-
Pf3D7_06_v3	1415036	+
Pf3D7_04_v3	1199696	+
Pf3D7_13_v3	2909222	+
Pf3D7_03_v3	34760	-
Pf3D7_02_v3	942971	+
Pf3D7_02_v3	943005	-
Pf3D7_09_v3	1512588	+
Pf3D7_13_v3	2907605	-
Pf3D7_03_v3	1049286	-
Pf3D7_12_v3	2251775	-
Pf3D7_03_v3	1041298	-
Pf3D7_09_v3	1527524	-
Pf3D7_01_v3	12090	+
Pf3D7_07_v3	1442031	-
Pf3D7_09_v3	1529265	-
Pf3D7_08_v3	1734	-
Pf3D7_03_v3	1063304	+
Pf3D7_11_v3	11568	+
Pf3D7_13_v3	2911608	-
Pf3D7_07_v3	18919	-
Pf3D7_09_v3	1528187	-
Pf3D7_10_v3	1651590	+
Pf3D7_03_v3	1044245	+
Pf3D7_12_v3	6929	+
Pf3D7_04_v3	1033	-
Pf3D7_10_v3	1656945	-
Pf3D7_02_v3	19197	-
Pf3D7_04_v3	3964	+
Pf3D7_08_v3	3400	+
Pf3D7_08_v3	10270	-
Pf3D7_12_v3	1482	-
Pf3D7_13_v3	2901867	+
Pf3D7_02_v3	22735	-
Pf3D7_03_v3	1057344	+
Pf3D7_04_v3	1199781	+
Pf3D7_07_v3	6941	-
Pf3D7_07_v3	1438213	-
Pf3D7_12_v3	3877	-
Pf3D7_10_v3	1664735	-
Pf3D7_01_v3	5019	-
Pf3D7_07_v3	16324	-
Pf3D7_09_v3	3538	-
Pf3D7_07_v3	4011	-
Pf3D7_02_v3	11247	+
Pf3D7_06_v3	1398372	-
Pf3D7_06_v3	1394348	+
Pf3D7_03_v3	12887	-
Pf3D7_10_v3	1661651	-
Pf3D7_04_v3	25334	-
Pf3D7_08_v3	1460839	-
Pf3D7_07_v3	1443745	+
Pf3D7_12_v3	2271207	+
Pf3D7_02_v3	15783	+
Pf3D7_02_v3	20021	+
Pf3D7_04_v3	3074	-
Pf3D7_06_v3	1416481	-
Pf3D7_04_v3	13385	-
Pf3D7_10_v3	1677085	+
Pf3D7_03_v3	1046208	+
Pf3D7_01_v3	618105	-
Pf3D7_06_v3	1414235	-
Pf3D7_10_v3	1667347	+
Pf3D7_12_v3	2250	-
Pf3D7_10_v3	18181	-
Pf3D7_08_v3	1445838	-
Pf3D7_10_v3	12438	+
Pf3D7_09_v3	1530610	+
Pf3D7_03_v3	1059909	-
Pf3D7_08_v3	1457215	-
Pf3D7_10_v3	1664415	+
Pf3D7_04_v3	23271	+
Pf3D7_09_v3	1511048	-
Pf3D7_07_v3	1463	+
Pf3D7_07_v3	1429840	+
Pf3D7_01_v3	635849	-
Pf3D7_09_v3	1521782	+
Pf3D7_12_v3	607	-
Pf3D7_02_v3	928183	-
Pf3D7_05_v3	566	+
Pf3D7_01_v3	636185	+
Pf3D7_01_v3	13256	-
Pf3D7_13_v3	2895976	-
Pf3D7_07_v3	1431015	-
Pf3D7_04_v3	1193029	+
Pf3D7_03_v3	1056255	+
Pf3D7_13_v3	2919563	-
Pf3D7_03_v3	1039877	+
Pf3D7_10_v3	1917	-
Pf3D7_04_v3	983	-
Pf3D7_01_v3	625613	+
Pf3D7_09_v3	1531465	-
Pf3D7_01_v3	19051	+
Pf3D7_09_v3	1512005	+
Pf3D7_03_v3	1058087	+
Pf3D7_10_v3	1674982	-
Pf3D7_10_v3	1657828	-
Pf3D7_10_v3	20706	-
Pf3D7_01_v3	12135	+
Pf3D7_10_v3	1639	-
Pf3D7_13_v3	2906103	+
Pf3D7_03_v3	1061331	-
Pf3D7_03_v3	1059211	+
Pf3D7_11_v3	6260	+
Pf3D7_02_v3	941569	-
Pf3D7_09_v3	1518757	+
Pf3D7_10_v3	1667745	-
Pf3D7_01_v3	2490	+
Pf3D7_08_v3	1472722	+
Pf3D7_08_v3	1468204	-
Pf3D7_04_v3	5411	+
Pf3D7_12_v3	2261907	-
Pf3D7_02_v3	942103	+
Pf3D7_05_v3	10166	-
Pf3D7_12_v3	3426	-
Pf3D7_03_v3	34960	+
Pf3D7_11_v3	6269	+
Pf3D7_01_v3	624116	-
Pf3D7_07_v3	1433755	-
Pf3D7_01_v3	638105	+
Pf3D7_09_v3	1522915	+
Pf3D7_10_v3	1677316	+
Pf3D7_12_v3	14645	+
Pf3D7_13_v3	2922992	+
Pf3D7_09_v3	1536331	+
Pf3D7_10_v3	1684255	-
Pf3D7_07_v3	1444264	-
Pf3D7_13_v3	20261	+
Pf3D7_09_v3	1528301	-
Pf3D7_12_v3	2252543	-
Pf3D7_03_v3	1042400	-
Pf3D7_07_v3	1441490	-
Pf3D7_10_v3	8729	-
Pf3D7_03_v3	29038	-
Pf3D7_03_v3	33739	+
Pf3D7_13_v3	2914071	+
Pf3D7_06_v3	1410035	-
Pf3D7_03_v3	10066	-
Pf3D7_04_v3	1189490	+
Pf3D7_06_v3	1417029	-
Pf3D7_09_v3	15700	+
Pf3D7_13_v3	4180	+
Pf3D7_13_v3	2923237	-
Pf3D7_09_v3	1522899	-
Pf3D7_10_v3	23300	+
Pf3D7_04_v3	14475	-
Pf3D7_12_v3	9814	-
Pf3D7_03_v3	5842	+
Pf3D7_02_v3	8212	+
Pf3D7_13_v3	2916525	-
Pf3D7_12_v3	13689	-
Pf3D7_04_v3	2467	+
Pf3D7_09_v3	1506988	+
Pf3D7_07_v3	13579	+
Pf3D7_04_v3	12411	-
Pf3D7_04_v3	23556	-
Pf3D7_02_v3	925894	-
Pf3D7_08_v3	7110	+
Pf3D7_06_v3	1384654	+
Pf3D7_07_v3	1439911	+
Pf3D7_03_v3	30964	+
Pf3D7_13_v3	3206	+
Pf3D7_09_v3	1516289	-
Pf3D7_12_v3	2268132	+
Pf3D7_02_v3	1005	+
Pf3D7_09_v3	18299	+
Pf3D7_12_v3	14414	-
Pf3D7_04_v3	1184007	-
Pf3D7_03_v3	5015	+
Pf3D7_03_v3	1059085	+
Pf3D7_03_v3	1039424	-
Pf3D7_06_v3	1401034	+
Pf3D7_04_v3	1182319	-
Pf3D7_03_v3	1054460	-
Pf3D7_09_v3	1517276	+
Pf3D7_01_v3	633470	-
Pf3D7_04_v3	1198170	+
Pf3D7_09_v3	1522491	+
Pf3D7_03_v3	23165	-
Pf3D7_03_v3	21669	+
Pf3D7_03_v3	35550	+
Pf3D7_01_v3	6635	+
Pf3D7_07_v3	4681	-
Pf3D7_01_v3	10877	+
Pf3D7_03_v3	1060378	+
Pf3D7_13_v3	2921005	+
Pf3D7_13_v3	5685	-
Pf3D7_03_v3	3967	-
Pf3D7_04_v3	16895	-
Pf3D7_07_v3	11708	-
Pf3D7_11_v3	2036931	-
Pf3D7_10_v3	1657566	+
Pf3D7_02_v3	20608	+
Pf3D7_02_v3	20527	-
Pf3D7_06_v3	1409451	+
Pf3D7_12_v3	9410	+
Pf3D7_12_v3	2255375	+
Pf3D7_02_v3	9774	+
Pf3D7_08_v3	1446241	-
Pf3D7_02_v3	930028	+
Pf3D7_09_v3	1521049	-
Pf3D7_13_v3	8931	+
Pf3D7_07_v3	1575	+
Pf3D7_01_v3	639786	-
Pf3D7_08_v3	1451939	+
Pf3D7_06_v3	1401152	+
Pf3D7_11_v3	10849	+
Pf3D7_04_v3	1190170	-
Pf3D7_12_v3	2268112	-
Pf3D7_03_v3	1060654	+
Pf3D7_02_v3	944090	-
Pf3D7_04_v3	10522	-
Pf3D7_01_v3	7619	+
Pf3D7_04_v3	11865	-
Pf3D7_09_v3	1525230	-
Pf3D7_02_v3	932011	+
Pf3D7_02_v3	11156	+
Pf3D7_02_v3	927777	+
Pf3D7_01_v3	630386	-
Pf3D7_12_v3	2265248	-
Pf3D7_13_v3	10778	+
Pf3D7_01_v3	25086	-
Pf3D7_10_v3	1687497	+
Pf3D7_10_v3	25004	+
Pf3D7_13_v3	2896759	-
Pf3D7_04_v3	1198172	-
Pf3D7_04_v3	9263	+
Pf3D7_07_v3	8851	+
Pf3D7_12_v3	6695	+
Pf3D7_10_v3	7844	+
Pf3D7_07_v3	17186	-
Pf3D7_03_v3	1057530	-
Pf3D7_10_v3	26698	+
Pf3D7_12_v3	15514	+
Pf3D7_06_v3	1398037	-
Pf3D7_09_v3	1531461	+
Pf3D7_06_v3	1400913	-
Pf3D7_07_v3	9695	+
Pf3D7_08_v3	15051	+
Pf3D7_10_v3	1676177	+
Pf3D7_13_v3	2922466	+
Pf3D7_06_v3	1410322	+
Pf3D7_04_v3	1193140	-
Pf3D7_05_v3	18517	+
Pf3D7_02_v3	926672	-
Pf3D7_04_v3	21185	-
Pf3D7_01_v3	625569	-
Pf3D7_06_v3	1398504	-
Pf3D7_02_v3	942133	+
Pf3D7_04_v3	1186359	+
Pf3D7_10_v3	1683364	-
Pf3D7_03_v3	1053549	+
Pf3D7_09_v3	6708	-
Pf3D7_12_v3	2256832	-
Pf3D7_08_v3	1456293	+
Pf3D7_03_v3	34029	+
Pf3D7_04_v3	1183033	+
Pf3D7_08_v3	1458775	+
Pf3D7_07_v3	1442200	+
Pf3D7_02_v3	935086	-
Pf3D7_06_v3	1403130	-
Pf3D7_08_v3	7086	+
Pf3D7_03_v3	1043061	-
Pf3D7_09_v3	12290	-
Pf3D7_01_v3	638839	-
Pf3D7_04_v3	1191154	-
Pf3D7_11_v3	10075	+
Pf3D7_03_v3	1042854	-
Pf3D7_09_v3	18158	+
Pf3D7_06_v3	1413688	+
Pf3D7_04_v3	25036	+
Pf3D7_13_v3	7340	+
Pf3D7_04_v3	1193201	-
Pf3D7_03_v3	1051608	+
Pf3D7_12_v3	2254791	-
Pf3D7_10_v3	1658354	-
Pf3D7_09_v3	1518543	+
Pf3D7_01_v3	629620	-
Pf3D7_02_v3	2959	-
Pf3D7_09_v3	1530521	-
Pf3D7_03_v3	16523	+
Pf3D7_03_v3	31805	+
Pf3D7_10_v3	1661052	+
Pf3D7_04_v3	1433	-
Pf3D7_01_v3	623551	-
Pf3D7_01_v3	27968	-
Pf3D7_06_v3	1394632	+
Pf3D7_09_v3	13528	-
Pf3D7_12_v3	13704	+
Pf3D7_02_v3	6894	-
Pf3D7_03_v3	23194	-
Pf3D7_08_v3	4161	+
Pf3D7_05_v3	7296	+
Pf3D7_07_v3	5801	+
Pf3D7_13_v3	13747	-
Pf3D7_08_v3	17821	-
Pf3D7_06_v3	1392208	+
Pf3D7_13_v3	2902988	+
Pf3D7_01_v3	636349	+
Pf3D7_13_v3	9462	+
Pf3D7_07_v3	1436333	-
Pf3D7_07_v3	1439844	+
Pf3D7_13_v3	2813	-
Pf3D7_07_v3	1442874	+
Pf3D7_06_v3	1396138	-
Pf3D7_03_v3	1058125	-
Pf3D7_09_v3	1520362	+
Pf3D7_08_v3	1465765	+
Pf3D7_03_v3	22075	-
Pf3D7_10_v3	4786	+
Pf3D7_09_v3	1511165	+
Pf3D7_06_v3	1413973	-
Pf3D7_01_v3	14931	+
Pf3D7_06_v3	1393021	-
Pf3D7_01_v3	4117	-
Pf3D7_01_v3	618932	+
Pf3D7_06_v3	1415453	+
Pf3D7_01_v3	640254	+
Pf3D7_03_v3	1050481	+
Pf3D7_09_v3	1511684	+
Pf3D7_04_v3	11627	-
Pf3D7_14_v3	174	+
Pf3D7_13_v3	11238	+
Pf3D7_08_v3	1462141	+
Pf3D7_13_v3	2924775	+
Pf3D7_12_v3	5182	+
Pf3D7_04_v3	5491	+
Pf3D7_10_v3	1655687	-
Pf3D7_02_v3	932926	-
Pf3D7_09_v3	1526721	-
Pf3D7_07_v3	1428196	-
Pf3D7_01_v3	21809	-
Pf3D7_03_v3	1052402	+
Pf3D7_13_v3	2918744	+
Pf3D7_04_v3	12869	-
Pf3D7_03_v3	5614	+
Pf3D7_03_v3	775	-
Pf3D7_07_v3	10910	-
Pf3D7_11_v3	2037302	+
Pf3D7_10_v3	1680783	-
Pf3D7_06_v3	1413968	-
Pf3D7_03_v3	5815	-
Pf3D7_01_v3	9043	+
