chr,start,end,strand,gene_id
Pf3D7_02_v3,436049,437395,+,PF3D7_0210700
Pf3D7_02_v3,439003,437354,-,PF3D7_0210800
Pf3D7_02_v3,443423,441779,-,PF3D7_0210900
Pf3D7_02_v3,443735,444909,+,PF3D7_0211000
Pf3D7_02_v3,451750,455317,+,PF3D7_0211100
Pf3D7_02_v3,456629,455378,-,PF3D7_0211200
Pf3D7_02_v3,458671,457129,-,PF3D7_0211300
Pf3D7_02_v3,461862,459071,-,PF3D7_0211400
Pf3D7_02_v3,463162,467301,+,PF3D7_0211500
Pf3D7_02_v3,467801,468677,+,PF3D7_0211600
Pf3D7_02_v3,469789,473892,+,PF3D7_0211700
Pf3D7_02_v3,474892,477375,+,PF3D7_0211800
Pf3D7_02_v3,479499,477231,-,PF3D7_0211900
Pf3D7_02_v3,479992,481733,+,PF3D7_0212000
Pf3D7_02_v3,483435,489371,+,PF3D7_0212100
Pf3D7_02_v3,491215,489703,-,PF3D7_0212200
Pf3D7_02_v3,492219,494707,+,PF3D7_0212300
Pf3D7_02_v3,508224,494765,-,PF3D7_0212400
Pf3D7_02_v3,509524,522147,+,PF3D7_0212500
Pf3D7_02_v3,522747,524300,+,PF3D7_0212600
Pf3D7_02_v3,526044,524399,-,PF3D7_0212700
Pf3D7_02_v3,527944,532324,+,PF3D7_0212800
Pf3D7_02_v3,532924,534451,+,PF3D7_0212900
Pf3D7_02_v3,535351,536447,+,PF3D7_0213000
Pf3D7_02_v3,537447,539821,+,PF3D7_0213100
Pf3D7_02_v3,540970,540008,-,PF3D7_0213200
Pf3D7_02_v3,541610,540970,-,PF3D7_0213300
Pf3D7_02_v3,555747,546081,-,PF3D7_0213600
Pf3D7_02_v3,556795,558097,+,PF3D7_0213700
Pf3D7_02_v3,558497,560695,+,PF3D7_0213800
Pf3D7_02_v3,564920,560721,-,PF3D7_0213900
Pf3D7_02_v3,565623,568295,+,PF3D7_0214000
Pf3D7_02_v3,573554,568228,-,PF3D7_0214100
Pf3D7_02_v3,576055,574754,-,PF3D7_0214200
Pf3D7_02_v3,578661,586265,+,PF3D7_0214300
Pf3D7_02_v3,589500,586664,-,PF3D7_0214400
Pf3D7_02_v3,590152,591422,+,PF3D7_0214500
Pf3D7_02_v3,594195,599641,+,PF3D7_0214600
Pf3D7_02_v3,602044,599828,-,PF3D7_0214700
Pf3D7_02_v3,605044,609726,+,PF3D7_0214800
Pf3D7_02_v3,610326,615773,+,PF3D7_0214900
Pf3D7_02_v3,619723,616671,-,PF3D7_0215000
Pf3D7_02_v3,624775,622223,-,PF3D7_0215100
Pf3D7_02_v3,626607,627711,+,PF3D7_0215200
Pf3D7_02_v3,631309,628241,-,PF3D7_0215300
Pf3D7_02_v3,637599,634288,-,PF3D7_0215400
Pf3D7_02_v3,640008,642895,+,PF3D7_0215500
Pf3D7_02_v3,644728,643105,-,PF3D7_0215600
Pf3D7_02_v3,645518,650486,+,PF3D7_0215700
Pf3D7_02_v3,653617,650262,-,PF3D7_0215800
Pf3D7_02_v3,657035,654517,-,PF3D7_0215900
Pf3D7_02_v3,658341,664983,+,PF3D7_0216000
Pf3D7_02_v3,668784,664983,-,PF3D7_0216100
Pf3D7_02_v3,670112,668784,-,PF3D7_0216200
Pf3D7_02_v3,670412,674959,+,PF3D7_0216300
Pf3D7_02_v3,675359,678000,+,PF3D7_0216400
Pf3D7_02_v3,678400,684004,+,PF3D7_0216500
Pf3D7_02_v3,686484,688946,+,PF3D7_0216600
Pf3D7_02_v3,690310,695984,+,PF3D7_0216700
Pf3D7_02_v3,699844,695892,-,PF3D7_0216800
Pf3D7_02_v3,701244,703089,+,PF3D7_0216900
Pf3D7_02_v3,706937,702895,-,PF3D7_0217000
Pf3D7_02_v3,707388,709694,+,PF3D7_0217100
Pf3D7_02_v3,715297,709498,-,PF3D7_0217200
Pf3D7_02_v3,716691,715597,-,PF3D7_0217300
Pf3D7_02_v3,717350,718582,+,PF3D7_0217400
Pf3D7_02_v3,720436,722662,+,PF3D7_0217500
Pf3D7_02_v3,730219,723646,-,PF3D7_0217600
Pf3D7_02_v3,732771,730719,-,PF3D7_0217700
Pf3D7_02_v3,733813,734996,+,PF3D7_0217800
Pf3D7_02_v3,737059,735037,-,PF3D7_0217900
Pf3D7_02_v3,738498,740253,+,PF3D7_0218000
Pf3D7_02_v3,740853,742760,+,PF3D7_0218100
Pf3D7_02_v3,746165,742988,-,PF3D7_0218200
Pf3D7_02_v3,749548,747265,-,PF3D7_0218300
Pf3D7_02_v3,751765,749648,-,PF3D7_0218400
Pf3D7_02_v3,752538,753840,+,PF3D7_0218500
Pf3D7_02_v3,755040,762861,+,PF3D7_0218600
Pf3D7_02_v3,765389,763090,-,PF3D7_0218700
Pf3D7_02_v3,767483,765989,-,PF3D7_0218800
Pf3D7_02_v3,768160,767283,-,PF3D7_0218900
Pf3D7_02_v3,768160,767483,-,PF3D7_0219000
Pf3D7_02_v3,769760,771442,+,PF3D7_0219100
Pf3D7_02_v3,772142,773091,+,PF3D7_0219200
Pf3D7_02_v3,774014,772934,-,PF3D7_0219300
Pf3D7_02_v3,774455,776337,+,PF3D7_0219400
Pf3D7_02_v3,778417,776427,-,PF3D7_0219500
Pf3D7_02_v3,782522,779117,-,PF3D7_0219600
Pf3D7_02_v3,785169,783422,-,PF3D7_0219700
Pf3D7_02_v3,788363,786469,-,PF3D7_0219800
Pf3D7_02_v3,791141,792782,+,PF3D7_0219900
Pf3D7_02_v3,796751,801887,+,PF3D7_0220000
Pf3D7_02_v3,804519,808142,+,PF3D7_0220100
Pf3D7_02_v3,810726,809110,-,PF3D7_0220200
Pf3D7_02_v3,814728,813426,-,PF3D7_0220300
Pf3D7_02_v3,820255,822842,+,PF3D7_0220400
Pf3D7_02_v3,824888,823424,-,PF3D7_0220500
Pf3D7_02_v3,830765,832406,+,PF3D7_0220600
Pf3D7_02_v3,833706,835089,+,PF3D7_0220700
Pf3D7_02_v3,838689,844417,+,PF3D7_0220800
Pf3D7_02_v3,846391,845199,-,PF3D7_0220900
Pf3D7_02_v3,848091,849520,+,PF3D7_0221000
Pf3D7_02_v3,851020,852163,+,PF3D7_0221100
Pf3D7_02_v3,854965,856139,+,PF3D7_0221200
Pf3D7_02_v3,858765,857266,-,PF3D7_0221300
Pf3D7_02_v3,860276,861705,+,PF3D7_0221400
Pf3D7_02_v3,863843,862778,-,PF3D7_0221500
Pf3D7_02_v3,866642,865515,-,PF3D7_0221600
Pf3D7_02_v3,866739,867712,+,PF3D7_0221650
Pf3D7_02_v3,871130,869107,-,PF3D7_0221700
Pf3D7_02_v3,872725,873620,+,PF3D7_0221800
Pf3D7_02_v3,875183,873616,-,PF3D7_0221900
Pf3D7_02_v3,876979,878233,+,PF3D7_0222000
Pf3D7_02_v3,879252,878067,-,PF3D7_0222100
Pf3D7_02_v3,882268,881068,-,PF3D7_0222200
Pf3D7_02_v3,883068,884613,+,PF3D7_0222300
Pf3D7_02_v3,886413,887903,+,PF3D7_0222400
Pf3D7_02_v3,889503,891146,+,PF3D7_0222500
Pf3D7_02_v3,892746,894607,+,PF3D7_0222600
Pf3D7_02_v3,896225,897621,+,PF3D7_0222700
Pf3D7_02_v3,899429,900746,+,PF3D7_0222800
Pf3D7_02_v3,901493,903054,+,PF3D7_0222900
Pf3D7_02_v3,904354,906076,+,PF3D7_0223100
Pf3D7_02_v3,907476,909062,+,PF3D7_0223200
Pf3D7_02_v3,909349,911155,+,PF3D7_0223300
Pf3D7_02_v3,913243,914658,+,PF3D7_0223400
Pf3D7_03_v3,47771,45968,-,PF3D7_0300200
Pf3D7_03_v3,51153,49671,-,PF3D7_0300300
Pf3D7_03_v3,53274,51979,-,PF3D7_0300400
Pf3D7_03_v3,56806,55089,-,PF3D7_0300500
Pf3D7_03_v3,58644,57906,-,PF3D7_0300600
Pf3D7_03_v3,61220,62915,+,PF3D7_0300700
Pf3D7_03_v3,64415,66084,+,PF3D7_0300800
Pf3D7_03_v3,67784,69083,+,PF3D7_0300900
Pf3D7_03_v3,72293,69059,-,PF3D7_0301000
Pf3D7_03_v3,76420,77775,+,PF3D7_0301100
Pf3D7_03_v3,80394,77994,-,PF3D7_0301200
Pf3D7_03_v3,83904,81610,-,PF3D7_0301300
Pf3D7_03_v3,86549,85004,-,PF3D7_0301400
Pf3D7_03_v3,89714,87849,-,PF3D7_0301500
Pf3D7_03_v3,93867,90714,-,PF3D7_0301600
Pf3D7_03_v3,98224,96467,-,PF3D7_0301700
Pf3D7_03_v3,104324,105682,+,PF3D7_0301800
Pf3D7_03_v3,107360,105512,-,PF3D7_0301900
Pf3D7_03_v3,110269,107660,-,PF3D7_0302000
Pf3D7_03_v3,113681,118387,+,PF3D7_0302100
Pf3D7_03_v3,119287,125136,+,PF3D7_0302200
Pf3D7_03_v3,130236,125591,-,PF3D7_0302300
Pf3D7_03_v3,133503,132031,-,PF3D7_0302400
Pf3D7_03_v3,135417,141061,+,PF3D7_0302500
Pf3D7_03_v3,141555,146054,+,PF3D7_0302600
Pf3D7_03_v3,147245,145971,-,PF3D7_0302700
Pf3D7_03_v3,149667,147645,-,PF3D7_0302800
Pf3D7_03_v3,156552,151767,-,PF3D7_0302900
Pf3D7_03_v3,162077,158952,-,PF3D7_0303000
Pf3D7_03_v3,167270,162377,-,PF3D7_0303100
Pf3D7_03_v3,169570,174601,+,PF3D7_0303200
Pf3D7_03_v3,176119,174621,-,PF3D7_0303300
Pf3D7_03_v3,178000,181128,+,PF3D7_0303400
Pf3D7_03_v3,182328,189412,+,PF3D7_0303500
Pf3D7_03_v3,190012,190920,+,PF3D7_0303600
Pf3D7_03_v3,193029,190844,-,PF3D7_0303700
Pf3D7_03_v3,193992,196312,+,PF3D7_0303800
Pf3D7_03_v3,197641,196269,-,PF3D7_0303900
Pf3D7_03_v3,201741,198441,-,PF3D7_0304000
Pf3D7_03_v3,204185,206320,+,PF3D7_0304100
Pf3D7_03_v3,209182,206941,-,PF3D7_0304200
Pf3D7_03_v3,212020,216673,+,PF3D7_0304300
Pf3D7_03_v3,217573,218890,+,PF3D7_0304400
Pf3D7_03_v3,220222,218716,-,PF3D7_0304500
Pf3D7_03_v3,222659,220922,-,PF3D7_0304600
Pf3D7_03_v3,225856,223759,-,PF3D7_0304700
Pf3D7_03_v3,226894,231498,+,PF3D7_0304800
Pf3D7_03_v3,232657,231398,-,PF3D7_0304900
Pf3D7_03_v3,235433,233757,-,PF3D7_0305000
Pf3D7_03_v3,248271,235933,-,PF3D7_0305100
Pf3D7_03_v3,250871,255062,+,PF3D7_0305200
Pf3D7_03_v3,258631,254875,-,PF3D7_0305300
Pf3D7_03_v3,260117,261386,+,PF3D7_0305400
Pf3D7_03_v3,273563,261384,-,PF3D7_0305500
Pf3D7_03_v3,277955,275463,-,PF3D7_0305600
Pf3D7_03_v3,280215,278755,-,PF3D7_0305700
Pf3D7_03_v3,281915,285578,+,PF3D7_0305800
Pf3D7_03_v3,286113,285578,-,PF3D7_0305900
Pf3D7_03_v3,287636,286505,-,PF3D7_0306000
Pf3D7_03_v3,291242,288536,-,PF3D7_0306100
Pf3D7_03_v3,292942,294949,+,PF3D7_0306200
Pf3D7_03_v3,296316,294706,-,PF3D7_0306300
Pf3D7_03_v3,298395,300779,+,PF3D7_0306400
Pf3D7_03_v3,302225,300706,-,PF3D7_0306500
Pf3D7_03_v3,302507,303484,+,PF3D7_0306600
Pf3D7_03_v3,303984,305400,+,PF3D7_0306700
Pf3D7_03_v3,308151,305707,-,PF3D7_0306800
Pf3D7_03_v3,310485,312206,+,PF3D7_0306900
Pf3D7_03_v3,313575,312292,-,PF3D7_0307100
Pf3D7_03_v3,316403,314575,-,PF3D7_0307200
Pf3D7_03_v3,318537,320737,+,PF3D7_0307300
Pf3D7_03_v3,322163,320649,-,PF3D7_0307400
Pf3D7_03_v3,325321,322932,-,PF3D7_0307500
Pf3D7_03_v3,325737,328384,+,PF3D7_0307600
Pf3D7_03_v3,335678,328486,-,PF3D7_0307700
Pf3D7_03_v3,336870,339679,+,PF3D7_0307800
Pf3D7_03_v3,352048,339627,-,PF3D7_0307900
Pf3D7_03_v3,353153,355446,+,PF3D7_0308000
Pf3D7_03_v3,356318,361855,+,PF3D7_0308100
Pf3D7_03_v3,364658,361941,-,PF3D7_0308200
Pf3D7_03_v3,366673,365258,-,PF3D7_0308300
Pf3D7_03_v3,368173,369091,+,PF3D7_0308400
Pf3D7_03_v3,369891,370990,+,PF3D7_0308500
Pf3D7_03_v3,372190,374631,+,PF3D7_0308600
Pf3D7_03_v3,375431,377738,+,PF3D7_0308700
